movie_name,movie_director,movie_year,movie_rank,critic_name,critic_org,critic_cn
Mad Max: Fury Road,George Miller,2015,1,Scott Collura,IGN,US
Lost in Translation,Sofia Coppola,2003,2,Scott Collura,IGN,US
Let the Right One In,Tomas Alfredson,2008,3,Scott Collura,IGN,US
Spring Breakers,Harmony Korine,2012,4,Scott Collura,IGN,US
Children of Men,Alfonso Cuarón,2006,5,Scott Collura,IGN,US
World of Tomorrow,Don Hertzfeldt,2015,6,Scott Collura,IGN,US
Ex Machina,Alex Garland,2015,7,Scott Collura,IGN,US
The Avengers,Joss Whedon,2012,8,Scott Collura,IGN,US
Her,Spike Jonze,2013,9,Scott Collura,IGN,US
Kill Bill: Vol. 2,Quentin Tarantino,2004,10,Scott Collura,IGN,US
Yi Yi: A One and a Two,Edward Yang,2000,1,Colin Covert,Minneapolis Star-Tribune,US
Mulholland Drive,David Lynch,2001,2,Colin Covert,Minneapolis Star-Tribune,US
Children of Men,Alfonso Cuarón,2006,3,Colin Covert,Minneapolis Star-Tribune,US
Manchester by the Sea,Kenneth Lonergan,2016,4,Colin Covert,Minneapolis Star-Tribune,US
Adaptation,Spike Jonze,2002,5,Colin Covert,Minneapolis Star-Tribune,US
The Host,Bong Joon-ho,2006,6,Colin Covert,Minneapolis Star-Tribune,US
District 9,Neill Blomkamp,2009,7,Colin Covert,Minneapolis Star-Tribune,US
City of God,Fernando Meirelles and Kátia Lund,2002,8,Colin Covert,Minneapolis Star-Tribune,US
Love & Friendship,Whit Stillman,2016,9,Colin Covert,Minneapolis Star-Tribune,US
Distant,Nuri Bilge Ceylan,2002,10,Colin Covert,Minneapolis Star-Tribune,US
3-Iron,Kim Ki-duk,2004,1,Oggs Cruz,Rappler.com,Philippines
Yi Yi: A One and a Two,Edward Yang,2000,2,Oggs Cruz,Rappler.com,Philippines
Mulholland Drive,David Lynch,2001,3,Oggs Cruz,Rappler.com,Philippines
Syndromes and a Century,Apichatpong Weerasethakul,2006,4,Oggs Cruz,Rappler.com,Philippines
Evolution of a Filipino Family,Lav Diaz,2004,5,Oggs Cruz,Rappler.com,Philippines
Pulse,Kiyoshi Kurosawa,2001,6,Oggs Cruz,Rappler.com,Philippines
Cave of Forgotten Dreams,Werner Herzog,2010,7,Oggs Cruz,Rappler.com,Philippines
Heaven's Story,Takahisa Zeze,2010,8,Oggs Cruz,Rappler.com,Philippines
"Norte, the End of History",Lav Diaz,2013,9,Oggs Cruz,Rappler.com,Philippines
Spirited Away,Hayao Miyazaki,2001,10,Oggs Cruz,Rappler.com,Philippines
"Crouching Tiger, Hidden Dragon",Ang Lee,2000,1,Ken Dancyger,New York University,US
There Will Be Blood,Paul Thomas Anderson,2007,2,Ken Dancyger,New York University,US
The Pianist,Roman Polanski,2002,3,Ken Dancyger,New York University,US
Lincoln,Steven Spielberg,2012,4,Ken Dancyger,New York University,US
Life of Pi,Ang Lee,2012,5,Ken Dancyger,New York University,US
Mystic River,Clint Eastwood,2003,6,Ken Dancyger,New York University,US
Son of Saul,László Nemes,2015,7,Ken Dancyger,New York University,US
American Hustle,David O. Russell,2013,8,Ken Dancyger,New York University,US
The White Ribbon,Michael Haneke,2009,9,Ken Dancyger,New York University,US
After the Wedding,Susanne Bier,2006,10,Ken Dancyger,New York University,US
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,1,Erik Davis,Fandango,US
Boyhood,Richard Linklater,2014,2,Erik Davis,Fandango,US
Memento,Christopher Nolan,2000,3,Erik Davis,Fandango,US
There Will Be Blood,Paul Thomas Anderson,2007,4,Erik Davis,Fandango,US
The Dark Knight,Christopher Nolan,2008,5,Erik Davis,Fandango,US
Inside Llewyn Davis,Joel and Ethan Coen,2013,6,Erik Davis,Fandango,US
Finding Nemo,Andrew Stanton,2003,7,Erik Davis,Fandango,US
Mad Max: Fury Road,George Miller,2015,8,Erik Davis,Fandango,US
Inglourious Basterds,Quentin Tarantino,2009,9,Erik Davis,Fandango,US
Gravity,Alfonso Cuarón,2013,10,Erik Davis,Fandango,US
The Tree of Life,Terrence Malick,2011,1,Peter Debruge,Variety,US
Yi Yi: A One and a Two,Edward Yang,2000,2,Peter Debruge,Variety,US
Secret Sunshine,Lee Chang-dong,2007,3,Peter Debruge,Variety,US
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,4,Peter Debruge,Variety,US
Amour,Michael Haneke,2012,5,Peter Debruge,Variety,US
I Am Love,Luca Guadagnino,2009,6,Peter Debruge,Variety,US
Son of Saul,László Nemes,2015,7,Peter Debruge,Variety,US
WALL-E,Andrew Stanton,2008,8,Peter Debruge,Variety,US
The Five Obstructions,Jørgen Leth and Lars von Trier,2003,9,Peter Debruge,Variety,US
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Larry Charles,2006,10,Peter Debruge,Variety,US
In the Mood for Love,Wong Kar-wai,2000,1,Fernand Denis,La Libre Belgique,Belgium
Ida,Paweł Pawlikowski,2013,2,Fernand Denis,La Libre Belgique,Belgium
Boyhood,Richard Linklater,2014,3,Fernand Denis,La Libre Belgique,Belgium
Son of Saul,László Nemes,2015,4,Fernand Denis,La Libre Belgique,Belgium
Nobody Knows,Hirokazu Koreeda,2004,5,Fernand Denis,La Libre Belgique,Belgium
Talk to Her,Pedro Almodóvar,2002,6,Fernand Denis,La Libre Belgique,Belgium
Amores Perros,Alejandro González Iñárritu,2000,7,Fernand Denis,La Libre Belgique,Belgium
Wild Tales,Damián Szifrón,2014,8,Fernand Denis,La Libre Belgique,Belgium
Eldorado,Bouli Lanners,2008,9,Fernand Denis,La Libre Belgique,Belgium
Mommy,Xavier Dolan,2014,10,Fernand Denis,La Libre Belgique,Belgium
The Stuart Hall Project,John Akomfrah,2013,1,Lindiwe Dovey,University of London,UK
Uncle Boonmee Who Can Recall His Past Lives,Apichatpong Weerasethakul,2010,2,Lindiwe Dovey,University of London,UK
A Letter to Nelson Mandela,Khalo Matabane,2013,3,Lindiwe Dovey,University of London,UK
Waiting for Happiness,Abderrahmane Sissako,2002,4,Lindiwe Dovey,University of London,UK
Something Necessary,Judy Kibinge,2013,5,Lindiwe Dovey,University of London,UK
Moolaadé,Ousmane Sembène,2004,6,Lindiwe Dovey,University of London,UK
Sembène!,Samba Gadjigo and Jason Silverman,2015,7,Lindiwe Dovey,University of London,UK
5 Broken Cameras,Emad Burnat and Guy Davidi,2011,8,Lindiwe Dovey,University of London,UK
Hooligan Sparrow,Nanfu Wang,2016,9,Lindiwe Dovey,University of London,UK
7 Letters,"Boo Junfeng, Eric Khoo, Jack Neo, K. Rajagopal, Tan Pin Pin, Royston Tan and Kelvin Tong",2015,10,Lindiwe Dovey,University of London,UK
"Synecdoche, New York",Charlie Kaufman,2008,1,Alonso Duralde,TheWrap,US
Brokeback Mountain,Ang Lee,2005,2,Alonso Duralde,TheWrap,US
Weekend,Andrew Haigh,2011,3,Alonso Duralde,TheWrap,US
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,4,Alonso Duralde,TheWrap,US
Spirited Away,Hayao Miyazaki,2001,5,Alonso Duralde,TheWrap,US
How to Survive a Plague,David France,2012,6,Alonso Duralde,TheWrap,US
Talk to Her,Pedro Almodóvar,2002,7,Alonso Duralde,TheWrap,US
American Splendor,Robert Pulcini and Shari Springer Berman,2003,8,Alonso Duralde,TheWrap,US
In the Mood for Love,Wong Kar-wai,2000,9,Alonso Duralde,TheWrap,US
Far From Heaven,Todd Haynes,2002,10,Alonso Duralde,TheWrap,US
The Tree of Life,Terrence Malick,2011,1,Bilge Ebiri,The Village Voice,US
Mad Max: Fury Road,George Miller,2015,2,Bilge Ebiri,The Village Voice,US
25th Hour,Spike Lee,2002,3,Bilge Ebiri,The Village Voice,US
An Injury to One,Travis Wilkerson,2002,4,Bilge Ebiri,The Village Voice,US
Love & Basketball,Gina Prince-Bythewood,2000,5,Bilge Ebiri,The Village Voice,US
In the Mood for Love,Wong Kar-wai,2000,6,Bilge Ebiri,The Village Voice,US
Timbuktu,Abderrahmane Sissako,2014,7,Bilge Ebiri,The Village Voice,US
Once Upon a Time in Anatolia,Nuri Bilge Ceylan,2011,8,Bilge Ebiri,The Village Voice,US
It's Such a Beautiful Day,Don Hertzfeldt,2012,9,Bilge Ebiri,The Village Voice,US
Actress,Robert Greene,2014,10,Bilge Ebiri,The Village Voice,US
Lost in Translation,Sofia Coppola,2003,1,David Ehrlich,IndieWire,US
Carol,Todd Haynes,2015,2,David Ehrlich,IndieWire,US
Yi Yi: A One and a Two,Edward Yang,2000,3,David Ehrlich,IndieWire,US
Dancer in the Dark,Lars von Trier,2000,4,David Ehrlich,IndieWire,US
Certified Copy,Abbas Kiarostami,2010,5,David Ehrlich,IndieWire,US
The Wind Rises,Hayao Miyazaki,2013,6,David Ehrlich,IndieWire,US
World of Tomorrow,Don Hertzfeldt,2015,7,David Ehrlich,IndieWire,US
Mulholland Drive,David Lynch,2001,8,David Ehrlich,IndieWire,US
35 Shots of Rum,Claire Denis,2008,9,David Ehrlich,IndieWire,US
Girl Walk: All Day,Jacob Krupnick,2011,10,David Ehrlich,IndieWire,US
Inside Llewyn Davis,Joel and Ethan Coen,2013,1,Kate Erbland,IndieWire,US
Almost Famous,Cameron Crowe,2000,2,Kate Erbland,IndieWire,US
Collateral,Michael Mann,2004,3,Kate Erbland,IndieWire,US
Brooklyn,John Crowley,2015,4,Kate Erbland,IndieWire,US
Nightcrawler,Dan Gilroy,2014,5,Kate Erbland,IndieWire,US
Take Shelter,Jeff Nichols,2011,6,Kate Erbland,IndieWire,US
Fantastic Mr Fox,Wes Anderson,2009,7,Kate Erbland,IndieWire,US
Senna,Asif Kapadia,2010,8,Kate Erbland,IndieWire,US
Frances Ha,Noah Baumbach,2012,9,Kate Erbland,IndieWire,US
Dogtooth,Yorgos Lanthimos,2009,10,Kate Erbland,IndieWire,US
A Pigeon Sat on a Branch Reflecting on Existence,Roy Andersson,2014,1,Mario Espinosa,Cinemateca de Cuba,Cuba
The Act of Killing,Joshua Oppenheimer,2012,2,Mario Espinosa,Cinemateca de Cuba,Cuba
Dogtooth,Yorgos Lanthimos,2009,3,Mario Espinosa,Cinemateca de Cuba,Cuba
Katyn,Andrzej Wajda,2007,4,Mario Espinosa,Cinemateca de Cuba,Cuba
3-Iron,Kim Ki-duk,2004,5,Mario Espinosa,Cinemateca de Cuba,Cuba
Caché,Michael Haneke,2005,6,Mario Espinosa,Cinemateca de Cuba,Cuba
Mulholland Drive,David Lynch,2001,7,Mario Espinosa,Cinemateca de Cuba,Cuba
The Congress,Ari Folman,2013,8,Mario Espinosa,Cinemateca de Cuba,Cuba
Sympathy for Mr Vengeance,Park Chan-wook,2002,9,Mario Espinosa,Cinemateca de Cuba,Cuba
"Synecdoche, New York",Charlie Kaufman,2008,10,Mario Espinosa,Cinemateca de Cuba,Cuba
Yi Yi: A One and a Two,Edward Yang,2000,1,Joseph Fahim,Freelance film critic,Egypt
There Will Be Blood,Paul Thomas Anderson,2007,2,Joseph Fahim,Freelance film critic,Egypt
Boyhood,Richard Linklater,2014,3,Joseph Fahim,Freelance film critic,Egypt
Still Life,Jia Zhangke,2006,4,Joseph Fahim,Freelance film critic,Egypt
Archipelago,Joanna Hogg,2010,5,Joseph Fahim,Freelance film critic,Egypt
The Headless Woman,Lucrecia Martel,2008,6,Joseph Fahim,Freelance film critic,Egypt
The Act of Killing,Joshua Oppenheimer,2012,7,Joseph Fahim,Freelance film critic,Egypt
Caché,Michael Haneke,2005,8,Joseph Fahim,Freelance film critic,Egypt
Divine Intervention,Elia Suleiman,2002,9,Joseph Fahim,Freelance film critic,Egypt
Crimson Gold,Jafar Panahi,2003,10,Joseph Fahim,Freelance film critic,Egypt
Zodiac,David Fincher,2007,1,Devin Faraci,Birth.Movies.Death.,US
Inside Llewyn Davis,Joel and Ethan Coen,2013,2,Devin Faraci,Birth.Movies.Death.,US
There Will Be Blood,Paul Thomas Anderson,2007,3,Devin Faraci,Birth.Movies.Death.,US
Spider-Man 2,Sam Raimi,2004,4,Devin Faraci,Birth.Movies.Death.,US
Oldboy,Park Chan-wook,2003,5,Devin Faraci,Birth.Movies.Death.,US
Inglourious Basterds,Quentin Tarantino,2009,6,Devin Faraci,Birth.Movies.Death.,US
Frozen,Chris Buck and Jennifer Lee,2013,7,Devin Faraci,Birth.Movies.Death.,US
25th Hour,Spike Lee,2002,8,Devin Faraci,Birth.Movies.Death.,US
Requiem for a Dream,Darren Aronofsky,2000,9,Devin Faraci,Birth.Movies.Death.,US
Shaun of the Dead,Edgar Wright,2004,10,Devin Faraci,Birth.Movies.Death.,US
There Will Be Blood,Paul Thomas Anderson,2007,1,David Fear,Rolling Stone,US
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,2,David Fear,Rolling Stone,US
Yi Yi: A One and a Two,Edward Yang,2000,3,David Fear,Rolling Stone,US
Shame,Steve McQueen,2011,4,David Fear,Rolling Stone,US
Boyhood,Richard Linklater,2014,5,David Fear,Rolling Stone,US
The Social Network,David Fincher,2010,6,David Fear,Rolling Stone,US
Manchester by the Sea,Kenneth Lonergan,2016,7,David Fear,Rolling Stone,US
Mulholland Drive,David Lynch,2001,8,David Fear,Rolling Stone,US
Head-On,Fatih Akin,2004,9,David Fear,Rolling Stone,US
In the Mood for Love,Wong Kar-wai,2000,10,David Fear,Rolling Stone,US
Sideways,Alexander Payne,2004,1,Scott Feinberg,The Hollywood Reporter,US
The Social Network,David Fincher,2010,2,Scott Feinberg,The Hollywood Reporter,US
"Synecdoche, New York",Charlie Kaufman,2008,3,Scott Feinberg,The Hollywood Reporter,US
The Diving Bell and the Butterfly,Julian Schnabel,2007,4,Scott Feinberg,The Hollywood Reporter,US
Dogville,Lars von Trier,2003,5,Scott Feinberg,The Hollywood Reporter,US
Short Term 12,Destin Daniel Cretton,2013,6,Scott Feinberg,The Hollywood Reporter,US
WALL-E,Andrew Stanton,2008,7,Scott Feinberg,The Hollywood Reporter,US
Blue Valentine,Derek Cianfrance,2010,8,Scott Feinberg,The Hollywood Reporter,US
The Squid and the Whale,Noah Baumbach,2005,9,Scott Feinberg,The Hollywood Reporter,US
A Serious Man,Joel and Ethan Coen,2009,10,Scott Feinberg,The Hollywood Reporter,US
Jersey Boys,Clint Eastwood,2014,1,Javier Porta Fouz,La Nacion,Argentina
Moulin Rouge!,Baz Luhrmann,2001,2,Javier Porta Fouz,La Nacion,Argentina
Nine Queens,Fabián Bielinsky,2000,3,Javier Porta Fouz,La Nacion,Argentina
Mia Madre,Nanni Moretti,2015,4,Javier Porta Fouz,La Nacion,Argentina
"Right Now, Wrong Then",Hong Sang-soo,2015,5,Javier Porta Fouz,La Nacion,Argentina
Toy Story 3,Lee Unkrich,2010,6,Javier Porta Fouz,La Nacion,Argentina
Mad Max: Fury Road,George Miller,2015,7,Javier Porta Fouz,La Nacion,Argentina
Spirited Away,Hayao Miyazaki,2001,8,Javier Porta Fouz,La Nacion,Argentina
Adventureland,Greg Mottola,2009,9,Javier Porta Fouz,La Nacion,Argentina
Open Range,Kevin Costner,2003,10,Javier Porta Fouz,La Nacion,Argentina
The World,Jia Zhangke,2004,1,Kenji Fujishima,Freelance film critic,US
Profit Motive and the Whispering Wind,John Gianvito,2007,2,Kenji Fujishima,Freelance film critic,US
Inglourious Basterds,Quentin Tarantino,2009,3,Kenji Fujishima,Freelance film critic,US
Pulse,Kiyoshi Kurosawa,2001,4,Kenji Fujishima,Freelance film critic,US
Syndromes and a Century,Apichatpong Weerasethakul,2006,5,Kenji Fujishima,Freelance film critic,US
In Jackson Heights,Frederick Wiseman,2015,6,Kenji Fujishima,Freelance film critic,US
"Synecdoche, New York",Charlie Kaufman,2008,7,Kenji Fujishima,Freelance film critic,US
Love Exposure,Sion Sono,2008,8,Kenji Fujishima,Freelance film critic,US
The Tree of Life,Terrence Malick,2011,9,Kenji Fujishima,Freelance film critic,US
Casino Royale,Martin Campbell,2006,10,Kenji Fujishima,Freelance film critic,US
Oldboy,Park Chan-wook,2003,1,Ernesto Garratt,El Mercurio,Chile
Children of Men,Alfonso Cuarón,2006,2,Ernesto Garratt,El Mercurio,Chile
Mulholland Drive,David Lynch,2001,3,Ernesto Garratt,El Mercurio,Chile
The Secret in Their Eyes,Juan José Campanella,2009,4,Ernesto Garratt,El Mercurio,Chile
Sicario,Denis Villeneuve,2015,5,Ernesto Garratt,El Mercurio,Chile
No,Pablo Larraín,2012,6,Ernesto Garratt,El Mercurio,Chile
Donnie Darko,Richard Kelly,2001,7,Ernesto Garratt,El Mercurio,Chile
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,8,Ernesto Garratt,El Mercurio,Chile
The Social Network,David Fincher,2010,9,Ernesto Garratt,El Mercurio,Chile
Whiplash,Damien Chazelle,2014,10,Ernesto Garratt,El Mercurio,Chile
Ex Machina,Alex Garland,2015,1,Steven Gaydos,Variety,US
Inside Out,Pete Docter,2015,2,Steven Gaydos,Variety,US
Animal Kingdom,David Michôd,2010,3,Steven Gaydos,Variety,US
Apocalypto,Mel Gibson,2006,4,Steven Gaydos,Variety,US
Three Monkeys,Nuri Bilge Ceylan,2008,5,Steven Gaydos,Variety,US
WALL-E,Andrew Stanton,2008,6,Steven Gaydos,Variety,US
Listen to Me Marlon,Stevan Riley,2015,7,Steven Gaydos,Variety,US
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,8,Steven Gaydos,Variety,US
Talladega Nights: The Ballad of Ricky Bobby,Adam McKay,2006,9,Steven Gaydos,Variety,US
Centochiodi,Ermanno Olmi,2007,10,Steven Gaydos,Variety,US
United 93,Paul Greengrass,2006,1,Noah Gittell,Washington City Paper,US
Zodiac,David Fincher,2007,2,Noah Gittell,Washington City Paper,US
Bridesmaids,Paul Feig,2011,3,Noah Gittell,Washington City Paper,US
WALL-E,Andrew Stanton,2008,4,Noah Gittell,Washington City Paper,US
Brooklyn,John Crowley,2015,5,Noah Gittell,Washington City Paper,US
The Look of Silence,Joshua Oppenheimer,2014,6,Noah Gittell,Washington City Paper,US
Punch-Drunk Love,Paul Thomas Anderson,2002,7,Noah Gittell,Washington City Paper,US
12 Years a Slave,Steve McQueen,2013,8,Noah Gittell,Washington City Paper,US
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,9,Noah Gittell,Washington City Paper,US
We Need to Talk About Kevin,Lynne Ramsay,2011,10,Noah Gittell,Washington City Paper,US
Far From Heaven,Todd Haynes,2002,1,Owen Gleiberman,Variety,US
Chuck & Buck,Miguel Arteta,2000,2,Owen Gleiberman,Variety,US
Gladiator,Ridley Scott,2000,3,Owen Gleiberman,Variety,US
The Century of the Self,Adam Curtis,2002,4,Owen Gleiberman,Variety,US
Moulin Rouge!,Baz Luhrmann,2001,5,Owen Gleiberman,Variety,US
Munich,Steven Spielberg,2005,6,Owen Gleiberman,Variety,US
Casino Royale,Martin Campbell,2006,7,Owen Gleiberman,Variety,US
Lilya 4-Ever,Lukas Moodysson,2002,8,Owen Gleiberman,Variety,US
Sideways,Alexander Payne,2004,9,Owen Gleiberman,Variety,US
Inglourious Basterds,Quentin Tarantino,2009,10,Owen Gleiberman,Variety,US
Mulholland Drive,David Lynch,2001,1,Ed Gonzalez,Slant Magazine,US
In the Mood for Love,Wong Kar-wai,2000,2,Ed Gonzalez,Slant Magazine,US
The New World,Terrence Malick,2005,3,Ed Gonzalez,Slant Magazine,US
Certified Copy,Abbas Kiarostami,2010,4,Ed Gonzalez,Slant Magazine,US
Femme Fatale,Brian De Palma,2002,5,Ed Gonzalez,Slant Magazine,US
Margaret,Kenneth Lonergan,2011,6,Ed Gonzalez,Slant Magazine,US
Under the Skin,Jonathan Glazer,2013,7,Ed Gonzalez,Slant Magazine,US
This Is Not a Film,Mojtaba Mirtahmasb and Jafar Panahi,2011,8,Ed Gonzalez,Slant Magazine,US
Two Lovers,James Gray,2008,9,Ed Gonzalez,Slant Magazine,US
Heart of a Dog,Laurie Anderson,2015,10,Ed Gonzalez,Slant Magazine,US
In the Mood for Love,Wong Kar-wai,2000,1,Juan Carlos González,El Tiempo,Colombia
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,2,Juan Carlos González,El Tiempo,Colombia
A Separation,Asghar Farhadi,2011,3,Juan Carlos González,El Tiempo,Colombia
Son of Saul,László Nemes,2015,4,Juan Carlos González,El Tiempo,Colombia
Elephant,Gus Van Sant,2003,5,Juan Carlos González,El Tiempo,Colombia
A Prophet,Jacques Audiard,2009,6,Juan Carlos González,El Tiempo,Colombia
There Will Be Blood,Paul Thomas Anderson,2007,7,Juan Carlos González,El Tiempo,Colombia
The Lives of Others,Florian Henckel von Donnersmarck,2006,8,Juan Carlos González,El Tiempo,Colombia
Frances Ha,Noah Baumbach,2012,9,Juan Carlos González,El Tiempo,Colombia
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,10,Juan Carlos González,El Tiempo,Colombia
Werckmeister Harmonies,Béla Tarr and Ágnes Hranitzky,2000,1,Carmen Gray,Berlin Critics’ Week,Germany
The Act of Killing,Joshua Oppenheimer,2012,2,Carmen Gray,Berlin Critics’ Week,Germany
White Material,Claire Denis,2009,3,Carmen Gray,Berlin Critics’ Week,Germany
Even If She Had Been a Criminal...,Jean-Gabriel Périot,2006,4,Carmen Gray,Berlin Critics’ Week,Germany
Spring Breakers,Harmony Korine,2012,5,Carmen Gray,Berlin Critics’ Week,Germany
In the Mood for Love,Wong Kar-wai,2000,6,Carmen Gray,Berlin Critics’ Week,Germany
Stranger by the Lake,Alain Guiraudie,2013,7,Carmen Gray,Berlin Critics’ Week,Germany
Colossal Youth,Pedro Costa,2006,8,Carmen Gray,Berlin Critics’ Week,Germany
Story of My Death,Albert Serra,2013,9,Carmen Gray,Berlin Critics’ Week,Germany
Aurora,Cristi Puiu,2010,10,Carmen Gray,Berlin Critics’ Week,Germany
Dogville,Lars von Trier,2003,1,Tim Grierson,Screen International,US
Zodiac,David Fincher,2007,2,Tim Grierson,Screen International,US
There Will Be Blood,Paul Thomas Anderson,2007,3,Tim Grierson,Screen International,US
Inside Llewyn Davis,Joel and Ethan Coen,2013,4,Tim Grierson,Screen International,US
Yi Yi: A One and a Two,Edward Yang,2000,5,Tim Grierson,Screen International,US
The Turin Horse,Béla Tarr and Ágnes Hranitzky,2011,6,Tim Grierson,Screen International,US
The Master,Paul Thomas Anderson,2012,7,Tim Grierson,Screen International,US
It's Such a Beautiful Day,Don Hertzfeldt,2012,8,Tim Grierson,Screen International,US
Boyhood,Richard Linklater,2014,9,Tim Grierson,Screen International,US
Shutter Island,Martin Scorsese,2010,10,Tim Grierson,Screen International,US
Saraband,Ingmar Bergman,2003,1,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France
Memento,Christopher Nolan,2000,2,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France
Blue Is the Warmest Color,Abdellatif Kechiche,2013,3,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France
The Return,Andrey Zvyagintsev,2003,4,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France
Amour,Michael Haneke,2012,5,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France
Mulholland Drive,David Lynch,2001,6,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France
Import Export,Ulrich Seidl,2007,7,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France
Son of Saul,László Nemes,2015,8,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France
Kill Bill: Vol. 1,Quentin Tarantino,2003,9,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France
The Revenant,Alejandro González Iñárritu,2015,10,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France
Tropical Malady,Apichatpong Weerasethakul,2004,1,Antoine Guillot,France Culture,France
Mulholland Drive,David Lynch,2001,2,Antoine Guillot,France Culture,France
The Turin Horse,Béla Tarr and Ágnes Hranitzky,2011,3,Antoine Guillot,France Culture,France
Tie Xi Qu: West of the Tracks,Wang Bing,2002,4,Antoine Guillot,France Culture,France
Le filmeur,Alain Cavalier,2005,5,Antoine Guillot,France Culture,France
Holy Motors,Leos Carax,2012,6,Antoine Guillot,France Culture,France
Elephant,Gus Van Sant,2003,7,Antoine Guillot,France Culture,France
A Touch of Sin,Jia Zhangke,2013,8,Antoine Guillot,France Culture,France
Pan's Labyrinth,Guillermo Del Toro,2006,9,Antoine Guillot,France Culture,France
Spirited Away,Hayao Miyazaki,2001,10,Antoine Guillot,France Culture,France
The New World,Terrence Malick,2005,1,Tom Gunning,University of Chicago,US
Capitalism: Child Labor,Ken Jacobs,2007,2,Tom Gunning,University of Chicago,US
Psalm III: 'Night of the Meek',Phil Solomon,2002,3,Tom Gunning,University of Chicago,US
Goodbye to Language,Jean-Luc Godard,2014,4,Tom Gunning,University of Chicago,US
Daylight Moon,Lewis Klahr,2002,5,Tom Gunning,University of Chicago,US
Oldboy,Park Chan-wook,2003,6,Tom Gunning,University of Chicago,US
A Commuter’s Life (What a Life!),What a Life!) (Ernie Gehr,2014,7,Tom Gunning,University of Chicago,US
The Fourth Watch,Janie Geiser,2000,8,Tom Gunning,University of Chicago,US
Our Daily Bread,Nikolaus Geyrhalter,2005,9,Tom Gunning,University of Chicago,US
The World,Jia Zhangke,2004,10,Tom Gunning,University of Chicago,US
Ankhon Dekhi,Rajat Kapoor,2013,1,Shubhra Gupta,The Indian Express,India
Court,Chaitanya Tamhane,2014,2,Shubhra Gupta,The Indian Express,India
"LSD: Love, Sex Aur Dhokha",Dibakar Banerjee,2010,3,Shubhra Gupta,The Indian Express,India
Monsoon Wedding,Mira Nair,2001,4,Shubhra Gupta,The Indian Express,India
Dev D,Anurag Kashyap,2009,5,Shubhra Gupta,The Indian Express,India
Paan Singh Tomar,Tigmanshu Dhulia,2012,6,Shubhra Gupta,The Indian Express,India
Udaan,Vikramaditya Motwane,2010,7,Shubhra Gupta,The Indian Express,India
Hazaaron Khwaishein Aisi,Sudhir Mishra,2003,8,Shubhra Gupta,The Indian Express,India
Maqbool,Vishal Bhardwaj,2003,9,Shubhra Gupta,The Indian Express,India
Lagaan: Once Upon a Time in India,Ashutosh Gowariker,2001,10,Shubhra Gupta,The Indian Express,India
There Will Be Blood,Paul Thomas Anderson,2007,1,Hauvick Habechian,An-Nahar Newspaper,Lebanon
Mulholland Drive,David Lynch,2001,2,Hauvick Habechian,An-Nahar Newspaper,Lebanon
AI: Artificial Intelligence,Steven Spielberg,2001,3,Hauvick Habechian,An-Nahar Newspaper,Lebanon
Blue Is the Warmest Color,Abdellatif Kechiche,2013,4,Hauvick Habechian,An-Nahar Newspaper,Lebanon
Spirited Away,Hayao Miyazaki,2001,5,Hauvick Habechian,An-Nahar Newspaper,Lebanon
Once Upon a Time in Anatolia,Nuri Bilge Ceylan,2011,6,Hauvick Habechian,An-Nahar Newspaper,Lebanon
In the Mood for Love,Wong Kar-wai,2000,7,Hauvick Habechian,An-Nahar Newspaper,Lebanon
The Lady and the Duke,Éric Rohmer,2001,8,Hauvick Habechian,An-Nahar Newspaper,Lebanon
Yi Yi: A One and a Two,Edward Yang,2000,9,Hauvick Habechian,An-Nahar Newspaper,Lebanon
Silent Souls,Aleksey Fedorchenko,2010,10,Hauvick Habechian,An-Nahar Newspaper,Lebanon
"Synecdoche, New York",Charlie Kaufman,2008,1,Angie Han,Slashfilm,US
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,2,Angie Han,Slashfilm,US
Boyhood,Richard Linklater,2014,3,Angie Han,Slashfilm,US
Mad Max: Fury Road,George Miller,2015,4,Angie Han,Slashfilm,US
Me and You and Everyone We Know,Miranda July,2005,5,Angie Han,Slashfilm,US
Gone Girl,David Fincher,2014,6,Angie Han,Slashfilm,US
Inside Llewyn Davis,Joel and Ethan Coen,2013,7,Angie Han,Slashfilm,US
