name,birth_place,lat,lng,geometry.coordinates
Abderrahmane Sissako,"Kiffa, Mauritania",16.75704,-11.39289,"[-11.39289, 16.75704]"
Ava DuVernay,"Long Beach, California, USA",33.76672,-118.1924,"[-118.1924, 33.76672]"
Lucrecia Martel,"Salta, Argentina",-24.78864,-65.41023,"[-65.41023, -24.78864]"
Todd Haynes,"Los Angeles, California, USA",34.05357,-118.24545,"[-118.24545, 34.05357]"
Sofia Coppola,"New York City, New York, USA",40.71455,-74.00714,"[-74.00714, 40.71455]"
Tom Ford,"Austin, Texas, USA",30.26759,-97.74299,"[-97.74299, 30.26759]"
Lee Unkrich,"Cleveland, Ohio, USA",41.50473,-81.69074,"[-81.69074, 41.50473]"
Luca Guadagnino,"Palermo, Sicily, Italy",38.12207,13.36112,"[13.36112, 38.12207]"
Richard Kelly,"Newport News, Virginia, USA",37.08358,-76.48065,"[-76.48065, 37.08358]"
Evan Goldberg and Seth Rogen,,6.48812,2.6138,"[2.6138, 6.48812]"
Chantal Akerman,"Brussels, Belgium",50.84439,4.35609,"[4.35609, 50.84439]"
Jacques Rivette,"Rouen, Seine-Inférieure [now Seine-Maritime], France",49.44014,1.0894,"[1.0894, 49.44014]"
Jonathan Glazer,"London, England, UK",51.50643,-0.12719,"[-0.12719, 51.50643]"
"Eric Darnell, Tom McGrath and Conrad Vernon",,6.48812,2.6138,"[2.6138, 6.48812]"
"Eric Darnell, Tom McGrath and Conrad Vernon",,6.48812,2.6138,"[2.6138, 6.48812]"
Mike Leigh,"Salford, Greater Manchester, England, UK",53.46545,-2.39369,"[-2.39369, 53.46545]"
Julian Schnabel,"Brooklyn, New York, USA",40.69245,-73.99036,"[-73.99036, 40.69245]"
Andrew Stanton,"Boston, Massachusetts, USA",42.35866,-71.05674,"[-71.05674, 42.35866]"
Nanni Moretti,"Brunico, Trentino-Alto Adige, Italy",46.79532,11.93519,"[11.93519, 46.79532]"
Mariano Llinás,"Buenos Aires, Argentina",-34.60849,-58.37344,"[-58.37344, -34.60849]"
Hou Hsiao-hsien,"Meixian, Guangdong, China",10.52592,105.84591,"[105.84591, 10.52592]"
Clint Eastwood,"San Francisco, California, USA",37.77712,-122.41964,"[-122.41964, 37.77712]"
Andrey Zvyagintsev,"Novosibirsk, Novosibirskaya oblast, RSFSR, USSR [now Russia]",54.96165,82.93574,"[82.93574, 54.96165]"
Jacques Audiard,"Paris, France",48.85717,2.3414,"[2.3414, 48.85717]"
Abdellatif Kechiche,"Tunis, Tunisia",36.80001,10.1827,"[10.1827, 36.80001]"
Ousmane Sembèène,"Ziguenchor, Casamance, Senegal",12.58122,-16.2637,"[-16.2637, 12.58122]"
Juan José Campanella,"Buenos Aires, Argentina",-34.60849,-58.37344,"[-58.37344, -34.60849]"
Park Chan-wook,"Seoul, South Korea",37.55886,126.99989,"[126.99989, 37.55886]"
Catherine Breillat,"Bressuire, Deux-Sèvres, France",46.83993,-0.49175,"[-0.49175, 46.83993]"
J. A. Bayona,"Barcelona, Catalonia, Spain",41.38804,2.17001,"[2.17001, 41.38804]"
Thomas Vinterberg,"Copenhagen, Denmark",55.67567,12.56756,"[12.56756, 55.67567]"
Harmony Korine,"Bolinas, California, USA",37.91072,-122.68936,"[-122.68936, 37.91072]"
Guy Maddin,"Winnipeg, Manitoba, Canada",49.89953,-97.14113,"[-97.14113, 49.89953]"
Roman Polanski,"Paris, France",48.85717,2.3414,"[2.3414, 48.85717]"
Baz Luhrmann,"New South Wales, Australia",-32.16736,147.01315,"[147.01315, -32.16736]"
Pacho Velez and Stephanie Spray,,6.48812,2.6138,"[2.6138, 6.48812]"
Pacho Velez and Stephanie Spray,,6.48812,2.6138,"[2.6138, 6.48812]"
Roy Andersson,"Gothenburg, Västra Götalands län, Sweden",57.70067,11.96822,"[11.96822, 57.70067]"
Ousmane Sembène,"Ziguenchor, Casamance, Senegal",12.58122,-16.2637,"[-16.2637, 12.58122]"
Jihan El-Tahri,,6.48812,2.6138,"[2.6138, 6.48812]"
Mahamat-Saleh Haroun,"Abéché, Chad",13.824,20.83139,"[20.83139, 13.824]"
Ngozi Onwurah,Nigeria,9.06344,7.46228,"[7.46228, 9.06344]"
Bazi Gete,,6.48812,2.6138,"[2.6138, 6.48812]"
Jean-Marie Téno,"Famleng, Cameroon",5.47007,10.08482,"[10.08482, 5.47007]"
Andrew Dosunmu,,6.48812,2.6138,"[2.6138, 6.48812]"
Khalo Matabane,,6.48812,2.6138,"[2.6138, 6.48812]"
Amma Asante,"Streatham, London, England, UK",51.43023,-0.12996,"[-0.12996, 51.43023]"
Jean-Pierre and Luc Dardenne,,6.48812,2.6138,"[2.6138, 6.48812]"
Gaspar Noé,"Buenos Aires, Argentina",-34.60849,-58.37344,"[-58.37344, -34.60849]"
Mira Nair,"Bhubaneshwar, Orissa, India",20.2688,85.84098,"[85.84098, 20.2688]"
László Nemes,"Budapest, Hungary",47.49972,19.05508,"[19.05508, 47.49972]"
Raam Reddy,,6.48812,2.6138,"[2.6138, 6.48812]"
Danis Tanovic,"Zenica, Bosnia and Herzegovina, Yugoslavia",44.19773,17.91231,"[17.91231, 44.19773]"
Josephine Decker,,6.48812,2.6138,"[2.6138, 6.48812]"
Josh and Benny Safdie,,6.48812,2.6138,"[2.6138, 6.48812]"
Miranda July,"Barre, Vermont, USA",44.19689,-72.50147,"[-72.50147, 44.19689]"
Sara Fattahi,,6.48812,2.6138,"[2.6138, 6.48812]"
Avi Nesher,"Ramat Gan, Israel",32.08364,34.81498,"[34.81498, 32.08364]"
Joseph Cedar,"New York City, New York, USA",40.71455,-74.00714,"[-74.00714, 40.71455]"
Eytan Fox,"New York City, New York, USA",40.71455,-74.00714,"[-74.00714, 40.71455]"
Jennifer Kent,"Brisbane, Queensland, Australia",-27.46844,153.02334,"[153.02334, -27.46844]"
Kim Ki-duk,"Bonghwa, South Korea",36.90384,128.74362,"[128.74362, 36.90384]"
Aleksandr Sokurov,"Podorvikha, Irkutskaya oblast, RSFSR, USSR [now Russia]",52.2827,104.33037,"[104.33037, 52.2827]"
Vincent Paronnaud and Marjane Satrapi,,6.48812,2.6138,"[2.6138, 6.48812]"
Vincent Paronnaud and Marjane Satrapi,,6.48812,2.6138,"[2.6138, 6.48812]"
George Miller,"Chinchilla, Queensland, Australia",-26.73971,150.63017,"[150.63017, -26.73971]"
Brad Bird and Jan Pinkava,,6.48812,2.6138,"[2.6138, 6.48812]"
Brad Bird and Jan Pinkava,,6.48812,2.6138,"[2.6138, 6.48812]"
Steven Spielberg,"Cincinnati, Ohio, USA",39.10713,-84.50413,"[-84.50413, 39.10713]"
Lee Chang-dong,"Daegu, South Korea",35.85402,128.61034,"[128.61034, 35.85402]"
Claire Denis,"Paris, France",48.85717,2.3414,"[2.3414, 48.85717]"
Tommy Lee Jones,"San Saba, Texas, USA",31.19583,-98.71651,"[-98.71651, 31.19583]"
Takeshi Kitano,"Tokyo, Japan",35.68408,139.80885,"[139.80885, 35.68408]"
Alain Gomis,"Paris, France",48.85717,2.3414,"[2.3414, 48.85717]"
Ken Loach,"Nuneaton, Warwickshire, England, UK",52.52147,-1.46407,"[-1.46407, 52.52147]"
Newton I. Aduaka,"Ogidi, Nigeria",7.75386,6.00923,"[6.00923, 7.75386]"
Cameron Crowe,"Palm Springs, California, USA",33.82321,-116.51196,"[-116.51196, 33.82321]"
Aleksey German,"Leningrad, Russian SFSR, USSR [now St. Petersburg, Russia]",59.93319,30.30609,"[30.30609, 59.93319]"
Larry Charles,"Brooklyn, New York City, New York, USA",40.70181,-73.99162,"[-73.99162, 40.70181]"
Don Hertzfeldt,"Fremont, California, USA",37.55148,-121.9833,"[-121.9833, 37.55148]"
Alex Garland,"London, England, UK",51.50643,-0.12719,"[-0.12719, 51.50643]"
Joss Whedon,"New York City, New York, USA",40.71455,-74.00714,"[-74.00714, 40.71455]"
Neill Blomkamp,"Johannesburg, South Africa",-26.20491,28.04006,"[28.04006, -26.20491]"
Whit Stillman,"Washington, District of Columbia, USA",38.89037,-77.03196,"[-77.03196, 38.89037]"
Lav Diaz,"Datu Paglas, Maguindanao, Mindanao, Philippines",6.78103,124.85332,"[124.85332, 6.78103]"
Kiyoshi Kurosawa,"Kobe, Japan",34.70388,135.22243,"[135.22243, 34.70388]"
Takahisa Zeze,"Tochigi, Japan",36.43001,139.83023,"[139.83023, 36.43001]"
David O. Russell,"Manhattan, New York City, New York, USA",40.71451,-74.00602,"[-74.00602, 40.71451]"
Jørgen Leth and Lars von Trier,,6.48812,2.6138,"[2.6138, 6.48812]"
Jørgen Leth and Lars von Trier,,6.48812,2.6138,"[2.6138, 6.48812]"
Paweł Pawlikowski,"Warsaw, Mazowieckie, Poland",52.2356,21.01037,"[21.01037, 52.2356]"
Hirokazu Koreeda,"Tokyo, Japan",35.68408,139.80885,"[139.80885, 35.68408]"
Damián Szifrón,"Ramos Mejía, Buenos Aires, Argentina",-34.60556,-58.43257,"[-58.43257, -34.60556]"
Bouli Lanners,"Moresnet-Chapelle, Belgium",50.73077,5.99582,"[5.99582, 50.73077]"
John Akomfrah,"London, England, UK",51.50643,-0.12719,"[-0.12719, 51.50643]"
Emad Burnat and Guy Davidi,,6.48812,2.6138,"[2.6138, 6.48812]"
Emad Burnat and Guy Davidi,,6.48812,2.6138,"[2.6138, 6.48812]"
Emad Burnat and Guy Davidi,,6.48812,2.6138,"[2.6138, 6.48812]"
"Boo Junfeng, Eric Khoo, Jack Neo, K. Rajagopal, Tan Pin Pin, Royston Tan and Kelvin Tong",,6.48812,2.6138,"[2.6138, 6.48812]"
"Boo Junfeng, Eric Khoo, Jack Neo, K. Rajagopal, Tan Pin Pin, Royston Tan and Kelvin Tong",,6.48812,2.6138,"[2.6138, 6.48812]"
Andrew Haigh,"Harrogate, North Yorkshire, England, UK",53.99466,-1.54445,"[-1.54445, 53.99466]"
Robert Pulcini and Shari Springer Berman,,6.48812,2.6138,"[2.6138, 6.48812]"
Robert Pulcini and Shari Springer Berman,,6.48812,2.6138,"[2.6138, 6.48812]"
Travis Wilkerson,"Denver, Colorado, USA",39.74001,-104.99202,"[-104.99202, 39.74001]"
Gina Prince-Bythewood,USA,38.89037,-77.03196,"[-77.03196, 38.89037]"
Robert Greene,"Charlotte, North Carolina, USA",35.22286,-80.83796,"[-80.83796, 35.22286]"
Jacob Krupnick,,6.48812,2.6138,"[2.6138, 6.48812]"
Michael Mann,"Chicago, Illinois, USA",41.88425,-87.63245,"[-87.63245, 41.88425]"
John Crowley,"Cork, Ireland",51.89832,-8.47281,"[-8.47281, 51.89832]"
Dan Gilroy,"Santa Monica, California, USA",34.01158,-118.49227,"[-118.49227, 34.01158]"
Jeff Nichols,"Little Rock, Arkansas, USA",34.7487,-92.27485,"[-92.27485, 34.7487]"
Asif Kapadia,"Hackney, London, England, UK",51.54505,-0.0553,"[-0.0553, 51.54505]"
Noah Baumbach,"Brooklyn, New York City, New York, USA",40.70181,-73.99162,"[-73.99162, 40.70181]"
Yorgos Lanthimos,"Athens, Greece",37.97614,23.7364,"[23.7364, 37.97614]"
Andrzej Wajda,"Suwalki, Podlaskie, Poland",54.10161,22.93938,"[22.93938, 54.10161]"
Joanna Hogg,"London, England, UK",51.50643,-0.12719,"[-0.12719, 51.50643]"
Elia Suleiman,"Nazareth, Israel",32.7001,35.29315,"[35.29315, 32.7001]"
Jafar Panahi,"Mianeh, Azarbaijan Province, Iran",37.47641,47.66048,"[47.66048, 37.47641]"
Chris Buck and Jennifer Lee,,6.48812,2.6138,"[2.6138, 6.48812]"
Chris Buck and Jennifer Lee,,6.48812,2.6138,"[2.6138, 6.48812]"
Edgar Wright,"Poole, Dorset, England, UK",50.71434,-1.98665,"[-1.98665, 50.71434]"
Fatih Akin,"Hamburg, West Germany",53.62869,10.04233,"[10.04233, 53.62869]"
Alexander Payne,"Omaha, Nebraska, USA",41.26068,-95.94026,"[-95.94026, 41.26068]"
Destin Daniel Cretton,"Maui, Hawaii, USA",20.85888,-156.56417,"[-156.56417, 20.85888]"
Derek Cianfrance,"Lakewood, Colorado, USA",39.71092,-105.08207,"[-105.08207, 39.71092]"
Fabián Bielinsky,"Buenos Aires, Argentina",-34.60849,-58.37344,"[-58.37344, -34.60849]"
Hong Sang-soo,"Seoul, Korea",37.55886,126.99989,"[126.99989, 37.55886]"
Greg Mottola,"Dix Hills, Long Island, New York, USA",40.73718,-73.85301,"[-73.85301, 40.73718]"
Kevin Costner,"Lynwood, California, USA",33.92783,-118.19927,"[-118.19927, 33.92783]"
John Gianvito,,6.48812,2.6138,"[2.6138, 6.48812]"
Frederick Wiseman,"Boston, Massachusetts, USA",42.35866,-71.05674,"[-71.05674, 42.35866]"
Sion Sono,"Toyokawa, Aichi, Japan",44.09217,144.05076,"[144.05076, 44.09217]"
Denis Villeneuve,"Trois-Rivières, Québec, Canada",46.34017,-72.54503,"[-72.54503, 46.34017]"
Damien Chazelle,"Providence, Rhode Island, USA",41.82387,-71.41199,"[-71.41199, 41.82387]"
David Michôd,,6.48812,2.6138,"[2.6138, 6.48812]"
Mel Gibson,"Peekskill, New York, USA",41.28508,-73.93038,"[-73.93038, 41.28508]"
Stevan Riley,,6.48812,2.6138,"[2.6138, 6.48812]"
Adam McKay,"Philadelphia, Pennsylvania, USA",39.95222,-75.16218,"[-75.16218, 39.95222]"
Paul Feig,"Mount Clemens, Michigan, USA",42.5966,-82.87739,"[-82.87739, 42.5966]"
Lynne Ramsay,"Glasgow, Strathclyde, Scotland, UK",55.8096,-4.13431,"[-4.13431, 55.8096]"
Miguel Arteta,"San Juan, Puerto Rico",-26.79827,-55.02228,"[-55.02228, -26.79827]"
Ridley Scott,"South Shields, County Durham, England, UK",54.62466,-1.64687,"[-1.64687, 54.62466]"
Adam Curtis,"Dartford, Kent, England, UK",51.44462,0.22057,"[0.22057, 51.44462]"
Lukas Moodysson,"Malmö, Skåne län, Sweden",55.59669,13.0011,"[13.0011, 55.59669]"
Mojtaba Mirtahmasb and Jafar Panahi,,6.48812,2.6138,"[2.6138, 6.48812]"
Mojtaba Mirtahmasb and Jafar Panahi,,6.48812,2.6138,"[2.6138, 6.48812]"
James Gray,"New York City, New York, USA",40.71455,-74.00714,"[-74.00714, 40.71455]"
Laurie Anderson,"Glen Ellyn, Illinois, USA",41.87546,-88.06612,"[-88.06612, 41.87546]"
Béla Tarr and Ágnes Hranitzky,,6.48812,2.6138,"[2.6138, 6.48812]"
Béla Tarr and Ágnes Hranitzky,,6.48812,2.6138,"[2.6138, 6.48812]"
Jean-Gabriel Périot,"Bellac, Haute-Vienne, France",46.12185,1.04933,"[1.04933, 46.12185]"
Alain Guiraudie,"Villefranche-de-Rouergue, Aveyron, France",44.34884,2.03695,"[2.03695, 44.34884]"
Pedro Costa,"Lisbon, Portugal",38.72639,-9.14948,"[-9.14948, 38.72639]"
Albert Serra,"Banyoles, Girona, Catalonia, Spain",42.11714,2.76469,"[2.76469, 42.11714]"
Cristi Puiu,"Bucharest, Romania",44.43429,26.10298,"[26.10298, 44.43429]"
Ingmar Bergman,"Uppsala, Uppsala län, Sweden",59.85862,17.64373,"[17.64373, 59.85862]"
Ulrich Seidl,"Vienna, Austria",48.20263,16.36842,"[16.36842, 48.20263]"
Wang Bing,"Xi'an, Shaanxi, China",30.04732,-94.33519,"[-94.33519, 30.04732]"
Alain Cavalier,"Vendôme, Loir-et-Cher, France",47.79245,1.06483,"[1.06483, 47.79245]"
Ken Jacobs,"Williamsburg, Brooklyn, New York City, New York, USA",40.70314,-73.94814,"[-73.94814, 40.70314]"
Phil Solomon,"Manhattan, New York City, New York, USA",40.71451,-74.00602,"[-74.00602, 40.71451]"
What a Life!) (Ernie Gehr,,6.48812,2.6138,"[2.6138, 6.48812]"
What a Life!) (Ernie Gehr,,6.48812,2.6138,"[2.6138, 6.48812]"
Janie Geiser,"Baton Rouge, Louisiana, USA",30.44335,-91.18664,"[-91.18664, 30.44335]"
Nikolaus Geyrhalter,"Vienna, Austria",48.20263,16.36842,"[16.36842, 48.20263]"
Rajat Kapoor,"New Delhi, India",28.63095,77.21721,"[77.21721, 28.63095]"
Chaitanya Tamhane,"Mumbai, Maharashtra, India",19.14045,72.88235,"[72.88235, 19.14045]"
Dibakar Banerjee,"New Delhi, India",28.63095,77.21721,"[77.21721, 28.63095]"
Anurag Kashyap,"Gorakhpur, Uttar Pradesh, India",26.75432,83.37554,"[83.37554, 26.75432]"
Tigmanshu Dhulia,,6.48812,2.6138,"[2.6138, 6.48812]"
Vikramaditya Motwane,"Bombay, India",19.14045,72.88235,"[72.88235, 19.14045]"
Sudhir Mishra,,6.48812,2.6138,"[2.6138, 6.48812]"
Vishal Bhardwaj,,6.48812,2.6138,"[2.6138, 6.48812]"
Ashutosh Gowariker,"Kolhapur, Maharashtra, India",16.70446,74.24137,"[74.24137, 16.70446]"
Éric Rohmer,"Tulle, Corrèze, France",45.25911,1.75657,"[1.75657, 45.25911]"
Aleksey Fedorchenko,"Sol-Iletsk, Sol-Iletskiy rayon, Orenburgskaya oblast, RSFSR, USSR [now Russia]",51.1554,54.99803,"[54.99803, 51.1554]"
Michael Bay,"Los Angeles, California, USA",34.05357,-118.24545,"[-118.24545, 34.05357]"
Ryan Coogler,"Oakland, California, USA",37.80508,-122.27307,"[-122.27307, 37.80508]"
Rian Johnson,"Silver Spring, Maryland, USA",38.99693,-77.02914,"[-77.02914, 38.99693]"
Tsai Ming-liang,,6.48812,2.6138,"[2.6138, 6.48812]"
Sean Baker,"New York City, New York, USA",40.71455,-74.00714,"[-74.00714, 40.71455]"
Tony Scott,"North Shields, Northumberland, England, UK",55.01055,-1.44615,"[-1.44615, 55.01055]"
Carol Morley,"Stockport, Greater Manchester, England, UK",53.45688,-2.20039,"[-2.20039, 53.45688]"
Agnès Varda,"Ixelles, Belgium",50.8326,4.36675,"[4.36675, 50.8326]"
Raoul Peck,"Port-au-Prince, Haiti",18.54495,-72.33561,"[-72.33561, 18.54495]"
Gabriela Pichler,,6.48812,2.6138,"[2.6138, 6.48812]"
J. J. Abrams,,6.48812,2.6138,"[2.6138, 6.48812]"
Xavier Beauvois,"Auchel, Pas-de-Calais, France",50.50412,2.46708,"[2.46708, 50.50412]"
Philip Gröning,"Düsseldorf, West Germany",51.21564,6.77661,"[6.77661, 51.21564]"
Benh Zeitlin,"Manhattan, New York, USA",40.71451,-74.00602,"[-74.00602, 40.71451]"
Mike Judge,"Guayaquil, Ecuador",-2.1596,-79.9283,"[-79.9283, -2.1596]"
Tony Gilroy,"Manhattan, New York City, New York, USA",40.71451,-74.00602,"[-74.00602, 40.71451]"
Gerhard Benedikt Friedl,"Bad Aussee, Styria, Austria",47.60963,13.78351,"[13.78351, 47.60963]"
Valeska Grisebach,"Bremen, West Germany [now Germany]",51.50445,7.95894,"[7.95894, 51.50445]"
David O'Reilly,,6.48812,2.6138,"[2.6138, 6.48812]"
Maren Ade,"Karlsruhe, Baden-Württemberg, Germany",49.01094,8.40845,"[8.40845, 49.01094]"
Norbert Pfaffenbichler,,6.48812,2.6138,"[2.6138, 6.48812]"
George Clooney,"Lexington, Kentucky, USA",38.04859,-84.50032,"[-84.50032, 38.04859]"
Philip Kaufman,"Chicago, Illinois, USA",41.88425,-87.63245,"[-87.63245, 41.88425]"
Wayne Blair,"Taree, New South Wales, Australia",-31.9135,152.46081,"[152.46081, -31.9135]"
Scandar Copti and Yaron Shani,,6.48812,2.6138,"[2.6138, 6.48812]"
Scandar Copti and Yaron Shani,,6.48812,2.6138,"[2.6138, 6.48812]"
Shimit Amin,,6.48812,2.6138,"[2.6138, 6.48812]"
Jean-Pierre Jeunet,"Roanne, Loire, Rhône-Alpes, France",46.03531,4.07251,"[4.07251, 46.03531]"
James Cameron,"Kapuskasing, Ontario, Canada",49.4178,-82.42522,"[-82.42522, 49.4178]"
