movie_name,movie_director,movie_year,movie_rank,critic_name,critic_org,critic_cn,birth_place,geometry.coordinates,douban_rate,douban_ppl,imdb_name,imdb_rate,storyline,imdb_ppl1,rate_dif,ppl_dif
In the Mood for Love,Wong Kar-wai,2000,1,Sam Adams,Freelance film critic,US,"Shanghai, China","[121.4747, 31.25516]",8.7,507976.0, In the Mood for Love (2000) ,8.1,"Set in Hong Kong, 1962, Chow Mo-Wan is a newspaper editor who moves into a new building with his wife. At the same time, Su Li-zhen, a beautiful secretary and her executive husband also move in to the crowded building. With their spouses often away, Chow and Li-zhen spend most of their time together as friends. They have everything in common from noodle shops to martial arts. Soon, they are shocked to discover that their spouses are having an affair. Hurt and angry, they find comfort in their growing friendship even as they resolve not to be like their unfaithful mates. —Anonymous",140000.0,0.5999999999999996,367976.0
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,2,Sam Adams,Freelance film critic,US,"Versailles, Seine-et-Oise [now Yvelines], France","[2.13108, 48.80195]",8.5,220299.0, Eternal Sunshine of the Spotless Mind (2004) ,8.3,"Much to his surprise, timid Joel Barish is shocked to discover that the love of his life, sparky Clementine, has had him erased from her memory. To pay her back in the same coin, poor Joel summons up the courage to undergo a painless but intricate medical procedure to do the same, utterly unaware that darkness is an essential part of the light. Now, as hurt and angry Joel's ugly recollections of Clementine gradually fade away, giving way to a soulless black void, suddenly, he begins having second thoughts, toying with the idea of stopping the irreversible process. In the end, is ignorance really bliss? —Nick Riganas",958000.0,0.1999999999999993,-737701.0
Syndromes and a Century,Apichatpong Weerasethakul,2006,3,Sam Adams,Freelance film critic,US,"Bangkok, Thailand","[100.50483, 13.75336]",7.9,4127.0, Syndromes and a Century (2006) ,7.4,"Story about director Apichatpong Weerasethakul's parents who were both doctors, and director's memories about growing up in the hospital environment.",4100.0,0.5,27.0
Spirited Away,Hayao Miyazaki,2001,4,Sam Adams,Freelance film critic,US,"Tokyo, Japan","[139.80885, 35.68408]",9.4,1963336.0, Spirited Away (2001) ,8.6,"Chihiro and her parents are moving to a small Japanese town in the countryside, much to Chihiro's dismay. On the way to their new home, Chihiro's father makes a wrong turn and drives down a lonely one-lane road which dead-ends in front of a tunnel. Her parents decide to stop the car and explore the area. They go through the tunnel and find an abandoned amusement park on the other side, with its own little town. When her parents see a restaurant with great-smelling food but no staff, they decide to eat and pay later. However, Chihiro refuses to eat and decides to explore the theme park a bit more. She meets a boy named Haku who tells her that Chihiro and her parents are in danger, and they must leave immediately. She runs to the restaurant and finds that her parents have turned into pigs. In addition, the theme park turns out to be a town inhabited by demons, spirits, and evil gods. At the center of the town is a bathhouse where these creatures go to relax. The owner of the bathhouse is the evil witch Yubaba, who is intent on keeping all trespassers as captive workers, including Chihiro. Chihiro must rely on Haku to save her parents in hopes of returning to their world. —Zachary Harper",706000.0,0.8000000000000007,1257336.0
The Act of Killing,Joshua Oppenheimer,2012,5,Sam Adams,Freelance film critic,US,"Texas, USA","[-97.74299, 30.26759]",8.4,7997.0, The Act of Killing (2012) ,8.2,"A documentary which challenges former Indonesian death-squad leaders to reenact their mass-killings in whichever cinematic genres they wish, including classic Hollywood crime scenarios and lavish musical numbers.",37000.0,0.20000000000000107,-29003.0
The Grand Budapest Hotel,Wes Anderson,2014,6,Sam Adams,Freelance film critic,US,"Houston, Texas, USA","[-95.36952, 29.76078]",8.9,779207.0, The Grand Budapest Hotel (2014) ,8.1,"This movie recounts the adventures of M. Gustave (Ralph Fiennes), a legendary concierge at a famous European hotel between the wars, and Zero Moustafa (Tony Revolori), the lobby boy who becomes his most trusted friend. The story involves the theft and recovery of a priceless Renaissance painting and the battle for an enormous family fortune - all against the backdrop of a suddenly and dramatically changing continent. —Fox Searchlight Pictures",757000.0,0.8000000000000007,22207.0
The New World,Terrence Malick,2004,7,Sam Adams,Freelance film critic,US,"Ottawa, Illinois, USA","[-88.84266, 41.34656]",9.1,29248.0, The New World (2005) ,6.7,"Captain Smith is spared his mutinous hanging sentence after captain Newport's ship arrives in 1607 to found Jamestown, an English colony in Virginia. The initially friendly natives, who have no personal property concept, turn hostile after a 'theft' is 'punished' violently on the spot. During an armed exploration, Smith is captured, but spared when the chief's favorite daughter Pocahontas pleads for the stranger who soon becomes her lover and learns to love their naive 'savage' way of harmonious life. Ultimately he returns to the grim fort, which would starve hadn't she arranged for Indian generosity. Alas, each side soon brands their own lover a traitor, so she is banished and he flogged as introduction to slavish toiling. Changes turn again, leading Smith to accept a northern-more mission and anglicized Pocahontas, believing him dead, becoming the mother of aristocratic new lover John Rolfe's son. They'll meet again for a finale in England. —KGF Vissers",85000.0,2.3999999999999995,-55752.0
Certified Copy,Abbas Kiarostami,2010,8,Sam Adams,Freelance film critic,US,"Tehran, Iran","[51.41503, 35.68877]",8.0,18396.0, Certified Copy (2010) ,7.3,"James Miller has just written a book on the value of a copy versus the original work of art. At a book reading, a woman gives him her address, and the next day they meet and take a country-side drive to a local Italian village. Here, they discuss various works of art found in the town, and also the nature of their relationship - which gets both more revealed and concealed as the day progresses. —napierslogs",23000.0,0.7000000000000002,-4604.0
The World,Jia Zhangke,2004,9,Sam Adams,Freelance film critic,US,,"[2.6138, 6.48812]",8.0,4516.0," Shijie (2004) aka ""The World"" ",7.1,"""The World"" is a theme park on the outskirts of Beijing, sixteen kilometers from the Chinese capital, designed around scaled representations of the world's famous landmarks such as the Eiffel Tower or the Leaning Tower of Pisa.The site is seen here not from the visitors' point of view but through the eyes of a few of its staff, lonely people, communicating poorly, a bit disillusioned with life, glittering for the tourists but dull and restricted as far as they are concerned. We meet, among others, pretty young dancer Tao and Taisheng, a security guard who is fond of her but not of personal commitment... —Guy Bellinger",3200.0,0.9000000000000004,1316.0
Elephant,Gus Van Sant,2003,10,Sam Adams,Freelance film critic,US,"Louisville, Kentucky, USA","[-85.76666, 38.25489]",7.8,66885.0, Elephant (2003) ,7.2,A day in the lives of a group of average teenage high school students. The film follows every character and shows their daily routines. However two of the students plan to do something that the student body won't forget. —Anonymous,89000.0,0.5999999999999996,-22115.0
Zero Dark Thirty,Kathryn Bigelow,2012,1,Thelma Adams,Freelance film critic,US,"San Carlos, California, USA","[-122.26281, 37.50494]",7.6,54971.0, Zero Dark Thirty (2012) ,7.4,"Maya is a CIA operative whose first experience is in the interrogation of prisoners following the Al Qaeda attacks against the U.S. on the 11th September 2001. She is a reluctant participant in extreme duress applied to the detainees, but believes that the truth may only be obtained through such tactics. For several years, she is single-minded in her pursuit of leads to uncover the whereabouts of Al Qaeda's leader, Osama Bin Laden. Finally, in 2011, it appears that her work will pay off, and a U.S. Navy SEAL team is sent to kill or capture Bin Laden. But only Maya is confident Bin Laden is where she says he is. —Jim Beaver <jumblejim@prodigy.net>",288000.0,0.1999999999999993,-233029.0
A History of Violence,David Cronenberg,2005,2,Thelma Adams,Freelance film critic,US,"Toronto, Ontario, Canada","[-79.38544, 43.64869]",7.5,22804.0, A History of Violence (2005) ,7.4,"Leading a happy and quiet life with his lawyer wife and their two children in the small town of Millbrook, Indiana, mild-mannered Tom Stall cherishes his simple, uneventful existence. However, their idyllic lifestyle is shattered when, one night, Tom saves his customers and friends in self-defence, foiling a vicious attempted robbery in his diner by two violent wanted criminals. Now, heralded as a local hero, Tom's life is changed overnight, attracting unwanted attention, and a national media feeding frenzy. Uncomfortable with his newfound celebrity, Tom tries to return to normalcy, only to find himself confronted by a mysterious man who arrives in town believing Tom is the man who wronged him in the past. More and more, as Tom and his family struggle to cope with their new reality and this case of mistaken identity, they have no other choice but to fight back and protect all that they hold dear. But, is there more to Tom than meets the eye? Does he have, indeed, a history of violence? —Nick Riganas",232000.0,0.09999999999999964,-209196.0
The Grand Budapest Hotel,Wes Anderson,2014,3,Thelma Adams,Freelance film critic,US,"Houston, Texas, USA","[-95.36952, 29.76078]",8.9,779207.0, The Grand Budapest Hotel (2014) ,8.1,"This movie recounts the adventures of M. Gustave (Ralph Fiennes), a legendary concierge at a famous European hotel between the wars, and Zero Moustafa (Tony Revolori), the lobby boy who becomes his most trusted friend. The story involves the theft and recovery of a priceless Renaissance painting and the battle for an enormous family fortune - all against the backdrop of a suddenly and dramatically changing continent. —Fox Searchlight Pictures",757000.0,0.8000000000000007,22207.0
Stories We Tell,Sarah Polley,2012,4,Thelma Adams,Freelance film critic,US,"Toronto, Ontario, Canada","[-79.38544, 43.64869]",8.2,1857.0, Stories We Tell (2012) ,7.6,"In this inspired, genre-twisting new film, Oscar®-nominated writer/director Sarah Polley discovers that the truth depends on who's telling it. Polley is both filmmaker and detective as she investigates the secrets kept by a family of storytellers. She playfully interviews and interrogates a cast of characters of varying reliability, eliciting refreshingly candid, yet mostly contradictory, answers to the same questions. As each relates their version of the family mythology, present-day recollections shift into nostalgia-tinged glimpses of their mother, who departed too soon, leaving a trail of unanswered questions. Polley unravels the paradoxes to reveal the essence of family: always complicated, warmly messy and fiercely loving. Stories We Tell explores the elusive nature of truth and memory, but at its core is a deeply personal film about how our narratives shape and define us as individuals and families, all interconnecting to paint a profound, funny and poignant picture of the larger human story. —The National Film Board of Canada",13000.0,0.5999999999999996,-11143.0
Casino Royale,Martin Campbell,2006,5,Thelma Adams,Freelance film critic,US,"Hastings, New Zealand","[176.84445, -39.64132]",7.7,166864.0, Casino Royale (2006) ,8.0,"James Bond (Daniel Craig) goes on his first mission as a 00. Le Chiffre (Mads Mikkelsen) is a banker to the world's terrorists. He is participating in a poker game at Montenegro, where he must win back his money, in order to stay safe amongst the terrorist market. The boss of MI6, known simply as ""M"" (Dame Judi Dench) sends Bond, along with Vesper Lynd Eva Green) to attend this game and prevent Le Chiffre from winning. Bond, using help from Felix Leiter (Jeffrey Wright), Rene Mathis (Giancarlo Giannini), and having Vesper pose as his partner, enters the most important poker game in his already dangerous career. But if Bond defeats Le Chiffre, will he and Vesper Lynd remain safe? —simon",631000.0,-0.2999999999999998,-464136.0
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,6,Thelma Adams,Freelance film critic,US,"Versailles, Seine-et-Oise [now Yvelines], France","[2.13108, 48.80195]",8.5,220299.0, Eternal Sunshine of the Spotless Mind (2004) ,8.3,"Much to his surprise, timid Joel Barish is shocked to discover that the love of his life, sparky Clementine, has had him erased from her memory. To pay her back in the same coin, poor Joel summons up the courage to undergo a painless but intricate medical procedure to do the same, utterly unaware that darkness is an essential part of the light. Now, as hurt and angry Joel's ugly recollections of Clementine gradually fade away, giving way to a soulless black void, suddenly, he begins having second thoughts, toying with the idea of stopping the irreversible process. In the end, is ignorance really bliss? —Nick Riganas",958000.0,0.1999999999999993,-737701.0
Tabu,Miguel Gomes,2012,7,Thelma Adams,Freelance film critic,US,"Lisbon, Portugal","[-9.14948, 38.72639]",7.5,1932.0," Taboo (2017) (TV Series) aka ""Tabu"" ",8.4,"James Keziah Delaney returns to 1814 London after 10 years in Africa to discover that he has been left a mysterious legacy by his father. Driven to wage war on those who have wronged him, Delaney finds himself in a face-off against the East India Company, whilst playing a dangerous game between two warring nations, Britain and America.",123000.0,-0.9000000000000004,-121068.0
Snow White,Pablo Berger,2012,8,Thelma Adams,Freelance film critic,US,"Bilbao, Vizcaya, País Vasco, Spain","[-2.94529, 43.2689]",7.6,1655.0,,,,,,
Frozen River,Courtney Hunt,2008,9,Thelma Adams,Freelance film critic,US,"Memphis, Tennessee, USA","[-90.04925, 35.14976]",7.6,4175.0, Frozen River (2008) ,7.1,"Takes place in the days before Christmas near a little-known border crossing on the Mohawk reservation between New York State and Quebec. Here, the lure of fast money from smuggling presents a daily challenge to single moms who would otherwise be earning minimum wage. Two women - one white, one Mohawk, both single mothers faced with desperate circumstances - are drawn into the world of border smuggling across the frozen water of the St. Lawrence River. Ray and Lila - and a New York State Trooper as opponent in an evolving cat-and-mouse game. —anonymous",25000.0,0.5,-20825.0
Gosford Park,Robert Altman,2001,10,Thelma Adams,Freelance film critic,US,"Kansas City, Missouri, USA","[-94.58311, 39.10344]",7.8,18565.0, Gosford Park (2001) ,7.2,"Set in the 1930s, the story takes place in an old-fashioned English country house where a weekend shooting party is underway. The story centers on the McCordle family, particularly the man of the house, Sir William McCordle (Sir Michael Gambon). Getting on in years, William has become a benefactor to many of his relatives and friends. As the weekend goes on, secrets are revealed, and it seems that everyone, above stairs and below, wants a piece of William and his money, but how far will they go to get it? —Ashley <AMTOT@aol.com>",85000.0,0.5999999999999996,-66435.0
In the Mood for Love,Wong Kar-wai,2000,1,Arturo Aguilar,Rolling Stone Mexico,Mexico,"Shanghai, China","[121.4747, 31.25516]",8.7,507976.0, In the Mood for Love (2000) ,8.1,"Set in Hong Kong, 1962, Chow Mo-Wan is a newspaper editor who moves into a new building with his wife. At the same time, Su Li-zhen, a beautiful secretary and her executive husband also move in to the crowded building. With their spouses often away, Chow and Li-zhen spend most of their time together as friends. They have everything in common from noodle shops to martial arts. Soon, they are shocked to discover that their spouses are having an affair. Hurt and angry, they find comfort in their growing friendship even as they resolve not to be like their unfaithful mates. —Anonymous",140000.0,0.5999999999999996,367976.0
Mulholland Drive,David Lynch,2001,2,Arturo Aguilar,Rolling Stone Mexico,Mexico,"Missoula, Montana, USA","[-113.99625, 46.87278]",8.4,386383.0, Mulholland Drive (2001) ,7.9,"Still untarnished by the false promises of the rapacious film industry, the wide-eyed actress, Betty, sets foot on bustling, sun-kissed Hollywood. Brimming with hope, and eager to spread her wings and prove her worth, Betty moves in Aunt Ruth's expensive apartment, unbeknownst to her, however, that fate has other plans in store for her, setting the stage for life-altering experiences with the unexpected, the indecipherable, and the unknown. Now, in the centre of an elaborate labyrinth of half-truths, faded memories, unrequited loves, and dangerous encounters with the city's ugly face lies a strange key to a mysterious keyhole, an even stranger indigo-blue cube, the young director, Adam, and one cryptic woman: the amnesiac brunette and devilishly seductive car-crash survivor, Rita. But, time flies and Rita's opaque past demands answers. After all, both women deserve the truth. What is the secret of the serpentine, dream-crushing Mulholland Drive? —Nick Riganas",341000.0,0.5,45383.0
Inception,Christopher Nolan,2010,3,Arturo Aguilar,Rolling Stone Mexico,Mexico,"London, England, UK","[-0.12719, 51.50643]",9.3,1807860.0, Inception (2010) ,8.8,"Dom Cobb is a skilled thief, the absolute best in the dangerous art of extraction, stealing valuable secrets from deep within the subconscious during the dream state, when the mind is at its most vulnerable. Cobb's rare ability has made him a coveted player in this treacherous new world of corporate espionage, but it has also made him an international fugitive and cost him everything he has ever loved. Now Cobb is being offered a chance at redemption. One last job could give him his life back but only if he can accomplish the impossible, inception. Instead of the perfect heist, Cobb and his team of specialists have to pull off the reverse: their task is not to steal an idea, but to plant one. If they succeed, it could be the perfect crime. But no amount of careful planning or expertise can prepare the team for the dangerous enemy that seems to predict their every move. An enemy that only Cobb could have seen coming. —Warner Bros. Pictures",2200000.0,0.5,-392140.0
Pan's Labyrinth,Guillermo Del Toro,2006,4,Arturo Aguilar,Rolling Stone Mexico,Mexico,"Guadalajara, Jalisco, Mexico","[-103.35104, 20.68758]",7.9,203028.0, Pan's Labyrinth (2006) ,8.2,"In 1944 Falangist Spain, a girl, fascinated with fairy-tales, is sent along with her pregnant mother to live with her new stepfather, a ruthless captain of the Spanish army. During the night, she meets a fairy who takes her to an old faun in the center of the labyrinth. He tells her she's a princess, but must prove her royalty by surviving three gruesome tasks. If she fails, she will never prove herself to be the true princess and will never see her real father, the king, again. —ahmetkozan",644000.0,-0.29999999999999893,-440972.0
Caché,Michael Haneke,2005,5,Arturo Aguilar,Rolling Stone Mexico,Mexico,"Munich, Bavaria, Germany","[11.57754, 48.13641]",7.6,12081.0, Caché (Hidden) (2005) ,7.3,"Set in France, Georges is a TV Literary Reviewer and lives in a small yet modern town house with his wife Ann, a publisher and his young son Pierrot. They begin to receive video tapes through the post of their house and family, along side obscure child-like drawings. They visit the police with hope of aid to find the stalker, but as there is no direct threat, they refuse to help. As the tapes become more personal, Georges takes it upon himself to figure out who is putting through his family through such horror. A true Michael Haneke Classic. —Jodie Norton",78000.0,0.2999999999999998,-65919.0
Grizzly Man,Werner Herzog,2005,6,Arturo Aguilar,Rolling Stone Mexico,Mexico,"Munich, Bavaria, Germany","[11.57754, 48.13641]",8.3,5473.0, Grizzly Man (2005) ,7.8,"A docudrama that centers on amateur grizzly bear expert Timothy Treadwell. He periodically journeyed to Alaska to study and live with the bears. He was killed, along with his girlfriend, Amie Huguenard, by a rogue bear in October 2003. The films explores Treadwell's compassionate life as he found solace among these endangered animals. —Sujit R. Varma",56000.0,0.5000000000000009,-50527.0
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,7,Arturo Aguilar,Rolling Stone Mexico,Mexico,"Iasi, Romania","[27.58732, 47.1594]",8.3,32944.0," 4 Months, 3 Weeks and 2 Days (2007) ",7.9,"Romania, 1987, the brutal Ceausescu communist regime is in place; birth control is illegal and abortion is a crime punishable by death. Gabita (Laura Vasliu) is almost five months into an unwanted pregnancy and in meek desperation turns to her friend and roommate, Otilia (Anamaria Marinca) for help in organizing an illegal termination. Unfortunate circumstances force the two women to use an unwanted male abortionist, Bebe (Vlad Ivanov). The bleakness of the storyline expresses a dark socio-political critique in the twilight years of a repressive dictatorship. —kwedgwood@hotmail.com",59000.0,0.40000000000000036,-26056.0
Holy Motors,Leos Carax,2012,8,Arturo Aguilar,Rolling Stone Mexico,Mexico,"Suresnes, Seine [now Hauts-de-Seine], France","[2.22612, 48.86773]",7.9,20123.0, Holy Motors (2012) ,7.1,"From dawn to dusk, a few hours in the life of Monsieur Oscar, a shadowy character who journeys from one life to the next. He is, in turn, captain of industry, assassin, beggar, monster, family man. He seems to be playing roles, plunging headlong into each part - but there are no cameras present.",45000.0,0.8000000000000007,-24877.0
The Last of the Unjust,Claude Lanzmann,2013,9,Arturo Aguilar,Rolling Stone Mexico,Mexico,"Bois-Colombes, Hauts-de-Seine, France","[2.26733, 48.91354]",7.4,99.0, The Last of the Unjust (2013) ,7.3,"A place: Theresienstadt. A unique place of propaganda which Adolf Eichmann called the ""model ghetto"", designed to mislead the world and Jewish people regarding its real nature, to be the last step before the gas chamber. A man: Benjamin Murmelstein, last president of the Theresienstadt Jewish Council, a fallen hero condemned to exile, who was forced to negotiate day after day from 1938 until the end of the war with Eichmann, to whose trial Murmelstein wasn't even called to testify. Even though he was without a doubt the one who knew the Nazi executioner best. More than twenty-five years after Shoah, Claude Lanzmann's new film reveals a little-known yet fundamental aspect of the Holocaust, and sheds light on the origins of the ""Final Solution"" like never before. —Synecdoche",732.0,0.10000000000000053,-633.0
There Will Be Blood,Paul Thomas Anderson,2007,10,Arturo Aguilar,Rolling Stone Mexico,Mexico,"Studio City, California, USA","[-118.39561, 34.14453]",8.4,64423.0, There Will Be Blood (2007) ,8.2,"The intersecting life stories of Daniel Plainview and Eli Sunday in early twentieth century California is presented. Miner turn oilman Daniel Plainview is a driven man who will do whatever it takes to achieve his goals. He works hard but he also takes advantage of those around him at their expense if need be. His business partner is his son H.W., who in reality he ""acquired"" when H.W.'s biological single father, who worked on one of Daniel's rigs, got killed in a workplace accident. Daniel is deeply protective of H.W. if only for what H.W. brings to the partnership. Eli Sunday is one in a pair of twins, whose family farm Daniel purchases for the major oil deposit located on it. Eli, the local preacher and a self-proclaimed faith healer, wants the money from the sale of the property to finance his own church. The lives of the two competitive men often clash as Daniel pumps oil off the property and tries to acquire all the surrounding land at bargain prices to be able to build a pipeline to the coast, and as Eli tries to build his own religious empire. —Huggo",552000.0,0.20000000000000107,-487577.0
The Piano Teacher,Michael Haneke,2001,1,Matthew Anderson,BBC Culture,UK,"Munich, Bavaria, Germany","[11.57754, 48.13641]",7.5,56162.0, The Piano Teacher (2001) ,7.5,"Erika Kohut is a pianist, teaching music. Schubert and Schumann are her forte, but she's not quite at concert level. She's approaching middle age, living with her mother who is domineering then submissive; Erika is a victim then combative. With her students she is severe. She visits a sex shop to watch DVDs; she walks a drive-in theater to stare at couples having sex. Walter is a self-assured student with some musical talent; he auditions for her class and is forthright in his attraction to her. She responds coldly then demands he let her lead. Next she changes the game with a letter, inviting him into her fantasies. How will he respond; how does sex have power over our other faculties? —<jhailey@hotmail.com>",61000.0,0.0,-4838.0
Margaret,Kenneth Lonergan,2011,2,Matthew Anderson,BBC Culture,UK,"New York City, New York, USA","[-74.00714, 40.71455]",8.2,7457.0," Mammal (2016) aka ""Margaret"" ",6.2,The compelling story of a woman who has lost her son and develops an unorthodox relationship with a homeless youth that she seems to fall in love with but doesn't realize it cause she Is stuck in the past with a older man. Their tentative trust is threatened by his involvement with a violent gang and the escalation of her ex-husband's grieving rage.,622.0,1.9999999999999991,6835.0
