name,imdb_name,imdb_rate,imdb_ppl,storyline
Eternal Sunshine of the Spotless Mind, Eternal Sunshine of the Spotless Mind (2004) ,8.3,958K,"Much to his surprise, timid Joel Barish is shocked to discover that the love of his life, sparky Clementine, has had him erased from her memory. To pay her back in the same coin, poor Joel summons up the courage to undergo a painless but intricate medical procedure to do the same, utterly unaware that darkness is an essential part of the light. Now, as hurt and angry Joel's ugly recollections of Clementine gradually fade away, giving way to a soulless black void, suddenly, he begins having second thoughts, toying with the idea of stopping the irreversible process. In the end, is ignorance really bliss? —Nick Riganas"
Syndromes and a Century, Syndromes and a Century (2006) ,7.4,4.1K,"Story about director Apichatpong Weerasethakul's parents who were both doctors, and director's memories about growing up in the hospital environment."
Spirited Away, Spirited Away (2001) ,8.6,706K,"Chihiro and her parents are moving to a small Japanese town in the countryside, much to Chihiro's dismay. On the way to their new home, Chihiro's father makes a wrong turn and drives down a lonely one-lane road which dead-ends in front of a tunnel. Her parents decide to stop the car and explore the area. They go through the tunnel and find an abandoned amusement park on the other side, with its own little town. When her parents see a restaurant with great-smelling food but no staff, they decide to eat and pay later. However, Chihiro refuses to eat and decides to explore the theme park a bit more. She meets a boy named Haku who tells her that Chihiro and her parents are in danger, and they must leave immediately. She runs to the restaurant and finds that her parents have turned into pigs. In addition, the theme park turns out to be a town inhabited by demons, spirits, and evil gods. At the center of the town is a bathhouse where these creatures go to relax. The owner of the bathhouse is the evil witch Yubaba, who is intent on keeping all trespassers as captive workers, including Chihiro. Chihiro must rely on Haku to save her parents in hopes of returning to their world. —Zachary Harper"
The Act of Killing, The Act of Killing (2012) ,8.2,37K,"A documentary which challenges former Indonesian death-squad leaders to reenact their mass-killings in whichever cinematic genres they wish, including classic Hollywood crime scenarios and lavish musical numbers."
The Grand Budapest Hotel, The Grand Budapest Hotel (2014) ,8.1,757K,"This movie recounts the adventures of M. Gustave (Ralph Fiennes), a legendary concierge at a famous European hotel between the wars, and Zero Moustafa (Tony Revolori), the lobby boy who becomes his most trusted friend. The story involves the theft and recovery of a priceless Renaissance painting and the battle for an enormous family fortune - all against the backdrop of a suddenly and dramatically changing continent. —Fox Searchlight Pictures"
The New World, The New World (2005) ,6.7,85K,"Captain Smith is spared his mutinous hanging sentence after captain Newport's ship arrives in 1607 to found Jamestown, an English colony in Virginia. The initially friendly natives, who have no personal property concept, turn hostile after a 'theft' is 'punished' violently on the spot. During an armed exploration, Smith is captured, but spared when the chief's favorite daughter Pocahontas pleads for the stranger who soon becomes her lover and learns to love their naive 'savage' way of harmonious life. Ultimately he returns to the grim fort, which would starve hadn't she arranged for Indian generosity. Alas, each side soon brands their own lover a traitor, so she is banished and he flogged as introduction to slavish toiling. Changes turn again, leading Smith to accept a northern-more mission and anglicized Pocahontas, believing him dead, becoming the mother of aristocratic new lover John Rolfe's son. They'll meet again for a finale in England. —KGF Vissers"
The World," Shijie (2004) aka ""The World"" ",7.1,3.2K,"""The World"" is a theme park on the outskirts of Beijing, sixteen kilometers from the Chinese capital, designed around scaled representations of the world's famous landmarks such as the Eiffel Tower or the Leaning Tower of Pisa.The site is seen here not from the visitors' point of view but through the eyes of a few of its staff, lonely people, communicating poorly, a bit disillusioned with life, glittering for the tourists but dull and restricted as far as they are concerned. We meet, among others, pretty young dancer Tao and Taisheng, a security guard who is fond of her but not of personal commitment... —Guy Bellinger"
Elephant, Elephant (2003) ,7.2,89K,A day in the lives of a group of average teenage high school students. The film follows every character and shows their daily routines. However two of the students plan to do something that the student body won't forget. —Anonymous
Zero Dark Thirty, Zero Dark Thirty (2012) ,7.4,288K,"Maya is a CIA operative whose first experience is in the interrogation of prisoners following the Al Qaeda attacks against the U.S. on the 11th September 2001. She is a reluctant participant in extreme duress applied to the detainees, but believes that the truth may only be obtained through such tactics. For several years, she is single-minded in her pursuit of leads to uncover the whereabouts of Al Qaeda's leader, Osama Bin Laden. Finally, in 2011, it appears that her work will pay off, and a U.S. Navy SEAL team is sent to kill or capture Bin Laden. But only Maya is confident Bin Laden is where she says he is. —Jim Beaver <jumblejim@prodigy.net>"
A History of Violence, A History of Violence (2005) ,7.4,232K,"Leading a happy and quiet life with his lawyer wife and their two children in the small town of Millbrook, Indiana, mild-mannered Tom Stall cherishes his simple, uneventful existence. However, their idyllic lifestyle is shattered when, one night, Tom saves his customers and friends in self-defence, foiling a vicious attempted robbery in his diner by two violent wanted criminals. Now, heralded as a local hero, Tom's life is changed overnight, attracting unwanted attention, and a national media feeding frenzy. Uncomfortable with his newfound celebrity, Tom tries to return to normalcy, only to find himself confronted by a mysterious man who arrives in town believing Tom is the man who wronged him in the past. More and more, as Tom and his family struggle to cope with their new reality and this case of mistaken identity, they have no other choice but to fight back and protect all that they hold dear. But, is there more to Tom than meets the eye? Does he have, indeed, a history of violence? —Nick Riganas"
Stories We Tell, Stories We Tell (2012) ,7.6,13K,"In this inspired, genre-twisting new film, Oscar®-nominated writer/director Sarah Polley discovers that the truth depends on who's telling it. Polley is both filmmaker and detective as she investigates the secrets kept by a family of storytellers. She playfully interviews and interrogates a cast of characters of varying reliability, eliciting refreshingly candid, yet mostly contradictory, answers to the same questions. As each relates their version of the family mythology, present-day recollections shift into nostalgia-tinged glimpses of their mother, who departed too soon, leaving a trail of unanswered questions. Polley unravels the paradoxes to reveal the essence of family: always complicated, warmly messy and fiercely loving. Stories We Tell explores the elusive nature of truth and memory, but at its core is a deeply personal film about how our narratives shape and define us as individuals and families, all interconnecting to paint a profound, funny and poignant picture of the larger human story. —The National Film Board of Canada"
Casino Royale, Casino Royale (2006) ,8.0,631K,"James Bond (Daniel Craig) goes on his first mission as a 00. Le Chiffre (Mads Mikkelsen) is a banker to the world's terrorists. He is participating in a poker game at Montenegro, where he must win back his money, in order to stay safe amongst the terrorist market. The boss of MI6, known simply as ""M"" (Dame Judi Dench) sends Bond, along with Vesper Lynd Eva Green) to attend this game and prevent Le Chiffre from winning. Bond, using help from Felix Leiter (Jeffrey Wright), Rene Mathis (Giancarlo Giannini), and having Vesper pose as his partner, enters the most important poker game in his already dangerous career. But if Bond defeats Le Chiffre, will he and Vesper Lynd remain safe? —simon"
Tabu," Taboo (2017) (TV Series) aka ""Tabu"" ",8.4,123K,"James Keziah Delaney returns to 1814 London after 10 years in Africa to discover that he has been left a mysterious legacy by his father. Driven to wage war on those who have wronged him, Delaney finds himself in a face-off against the East India Company, whilst playing a dangerous game between two warring nations, Britain and America."
Frozen River, Frozen River (2008) ,7.1,25K,"Takes place in the days before Christmas near a little-known border crossing on the Mohawk reservation between New York State and Quebec. Here, the lure of fast money from smuggling presents a daily challenge to single moms who would otherwise be earning minimum wage. Two women - one white, one Mohawk, both single mothers faced with desperate circumstances - are drawn into the world of border smuggling across the frozen water of the St. Lawrence River. Ray and Lila - and a New York State Trooper as opponent in an evolving cat-and-mouse game. —anonymous"
Gosford Park, Gosford Park (2001) ,7.2,85K,"Set in the 1930s, the story takes place in an old-fashioned English country house where a weekend shooting party is underway. The story centers on the McCordle family, particularly the man of the house, Sir William McCordle (Sir Michael Gambon). Getting on in years, William has become a benefactor to many of his relatives and friends. As the weekend goes on, secrets are revealed, and it seems that everyone, above stairs and below, wants a piece of William and his money, but how far will they go to get it? —Ashley <AMTOT@aol.com>"
Inception, Inception (2010) ,8.8,2.2M,"Dom Cobb is a skilled thief, the absolute best in the dangerous art of extraction, stealing valuable secrets from deep within the subconscious during the dream state, when the mind is at its most vulnerable. Cobb's rare ability has made him a coveted player in this treacherous new world of corporate espionage, but it has also made him an international fugitive and cost him everything he has ever loved. Now Cobb is being offered a chance at redemption. One last job could give him his life back but only if he can accomplish the impossible, inception. Instead of the perfect heist, Cobb and his team of specialists have to pull off the reverse: their task is not to steal an idea, but to plant one. If they succeed, it could be the perfect crime. But no amount of careful planning or expertise can prepare the team for the dangerous enemy that seems to predict their every move. An enemy that only Cobb could have seen coming. —Warner Bros. Pictures"
Pan's Labyrinth, Pan's Labyrinth (2006) ,8.2,644K,"In 1944 Falangist Spain, a girl, fascinated with fairy-tales, is sent along with her pregnant mother to live with her new stepfather, a ruthless captain of the Spanish army. During the night, she meets a fairy who takes her to an old faun in the center of the labyrinth. He tells her she's a princess, but must prove her royalty by surviving three gruesome tasks. If she fails, she will never prove herself to be the true princess and will never see her real father, the king, again. —ahmetkozan"
Caché, Caché (Hidden) (2005) ,7.3,78K,"Set in France, Georges is a TV Literary Reviewer and lives in a small yet modern town house with his wife Ann, a publisher and his young son Pierrot. They begin to receive video tapes through the post of their house and family, along side obscure child-like drawings. They visit the police with hope of aid to find the stalker, but as there is no direct threat, they refuse to help. As the tapes become more personal, Georges takes it upon himself to figure out who is putting through his family through such horror. A true Michael Haneke Classic. —Jodie Norton"
Grizzly Man, Grizzly Man (2005) ,7.8,56K,"A docudrama that centers on amateur grizzly bear expert Timothy Treadwell. He periodically journeyed to Alaska to study and live with the bears. He was killed, along with his girlfriend, Amie Huguenard, by a rogue bear in October 2003. The films explores Treadwell's compassionate life as he found solace among these endangered animals. —Sujit R. Varma"
"4 Months, 3 Weeks & 2 Days"," 4 Months, 3 Weeks and 2 Days (2007) ",7.9,59K,"Romania, 1987, the brutal Ceausescu communist regime is in place; birth control is illegal and abortion is a crime punishable by death. Gabita (Laura Vasliu) is almost five months into an unwanted pregnancy and in meek desperation turns to her friend and roommate, Otilia (Anamaria Marinca) for help in organizing an illegal termination. Unfortunate circumstances force the two women to use an unwanted male abortionist, Bebe (Vlad Ivanov). The bleakness of the storyline expresses a dark socio-political critique in the twilight years of a repressive dictatorship. —kwedgwood@hotmail.com"
Holy Motors, Holy Motors (2012) ,7.1,45K,"From dawn to dusk, a few hours in the life of Monsieur Oscar, a shadowy character who journeys from one life to the next. He is, in turn, captain of industry, assassin, beggar, monster, family man. He seems to be playing roles, plunging headlong into each part - but there are no cameras present."
The Last of the Unjust, The Last of the Unjust (2013) ,7.3,732,"A place: Theresienstadt. A unique place of propaganda which Adolf Eichmann called the ""model ghetto"", designed to mislead the world and Jewish people regarding its real nature, to be the last step before the gas chamber. A man: Benjamin Murmelstein, last president of the Theresienstadt Jewish Council, a fallen hero condemned to exile, who was forced to negotiate day after day from 1938 until the end of the war with Eichmann, to whose trial Murmelstein wasn't even called to testify. Even though he was without a doubt the one who knew the Nazi executioner best. More than twenty-five years after Shoah, Claude Lanzmann's new film reveals a little-known yet fundamental aspect of the Holocaust, and sheds light on the origins of the ""Final Solution"" like never before. —Synecdoche"
There Will Be Blood, There Will Be Blood (2007) ,8.2,552K,"The intersecting life stories of Daniel Plainview and Eli Sunday in early twentieth century California is presented. Miner turn oilman Daniel Plainview is a driven man who will do whatever it takes to achieve his goals. He works hard but he also takes advantage of those around him at their expense if need be. His business partner is his son H.W., who in reality he ""acquired"" when H.W.'s biological single father, who worked on one of Daniel's rigs, got killed in a workplace accident. Daniel is deeply protective of H.W. if only for what H.W. brings to the partnership. Eli Sunday is one in a pair of twins, whose family farm Daniel purchases for the major oil deposit located on it. Eli, the local preacher and a self-proclaimed faith healer, wants the money from the sale of the property to finance his own church. The lives of the two competitive men often clash as Daniel pumps oil off the property and tries to acquire all the surrounding land at bargain prices to be able to build a pipeline to the coast, and as Eli tries to build his own religious empire. —Huggo"
The Piano Teacher, The Piano Teacher (2001) ,7.5,61K,"Erika Kohut is a pianist, teaching music. Schubert and Schumann are her forte, but she's not quite at concert level. She's approaching middle age, living with her mother who is domineering then submissive; Erika is a victim then combative. With her students she is severe. She visits a sex shop to watch DVDs; she walks a drive-in theater to stare at couples having sex. Walter is a self-assured student with some musical talent; he auditions for her class and is forthright in his attraction to her. She responds coldly then demands he let her lead. Next she changes the game with a letter, inviting him into her fantasies. How will he respond; how does sex have power over our other faculties? —<jhailey@hotmail.com>"
Margaret," Mammal (2016) aka ""Margaret"" ",6.2,622,The compelling story of a woman who has lost her son and develops an unorthodox relationship with a homeless youth that she seems to fall in love with but doesn't realize it cause she Is stuck in the past with a older man. Their tentative trust is threatened by his involvement with a violent gang and the escalation of her ex-husband's grieving rage.
American Psycho, American Psycho (2000) ,7.6,537K,"It's the late 1980s. Twenty-seven year old Wall Streeter Patrick Bateman travels among a closed network of the proverbial beautiful people, that closed network in only they able to allow others like themselves in in a feeling of superiority. Patrick has a routinized morning regimen to maintain his appearance of attractiveness and fitness. He, like those in his network, are vain, narcissistic, egomaniacal and competitive, always having to one up everyone else in that presentation of oneself, but he, unlike the others, realizes that, for himself, all of these are masks to hide what is truly underneath, someone/something inhuman in nature. In other words, he is comprised of a shell resembling a human that contains only greed and disgust, greed in wanting what others may have, and disgust for those who do not meet his expectations and for himself in not being the first or the best. That disgust ends up manifesting itself in wanting to rid the world of those people, he not seeing them as people but only of those characteristics he wants to rid. —Huggo"
Lourdes, Lourdes (2009) ,6.9,3.4K,"In order to escape her isolation, wheelchair-bound Christine makes a life changing journey to Lourdes, the iconic site of pilgrimage in the Pyrenees Mountains."
Red Road, Red Road (2006) ,6.8,13K,"Whilst working as a CCTV operator in Glasgow's working-class Red Road estate, Jackie sees a face from the past, a face that she thought would no longer haunt her dreams. Keeping her distance, and with the use of her CCTV cameras, she follows the face and the man and she finally decides to confront him. It is here that past lives are once again entwined and reconciliations are aired. —Cinema_Fan"
Boyhood, Boyhood (I) (2014) ,7.9,346K,"Filmed over 12 years with the same cast, Richard Linklater's BOYHOOD is a groundbreaking story of growing up as seen through the eyes of a child named Mason (a breakthrough performance by Ellar Coltrane), who literally grows up on screen before our eyes. Starring Ethan Hawke and Patricia Arquette as Mason's parents and newcomer Lorelei Linklater as his sister Samantha, BOYHOOD charts the rocky terrain of childhood like no other film has before. Snapshots of adolescence from road trips and family dinners to birthdays and graduations and all the moments in between become transcendent, set to a soundtrack spanning the years from Coldplay's Yellow to Arcade Fire's Deep Blue. BOYHOOD is both a nostalgic time capsule of the recent past and an ode to growing up and parenting. —IFC Films"
Tony Manero, Tony Manero (2008) ,6.8,4.1K,"Raúl, a middle-aged, unemployed man, is obsessed by the character Tony Manero, who John Travolta plays in the film ""Saturday Night Fever"". He tries to imitate Travolta's impersonation in every detail, to be able to perform the most perfect Tony Manero himself. Raúl lives in a shabby house in Santiago. In a spacious room the landlady Wilma has a simple stage, where Raúl and some other tenants rehearse a show in Tony Moreno style. The young performers Goyo and Pauli are involved in underground activities against the Pinochet regime. Goyo gives some political flyers to a man. Raúl tails the man, and happens to see the secret police shooting him. After a while Raúl returns to the corpse, and steals the man's wristwatch. He goes to a junk dealer, where he swaps the watch for some thick glass bricks. He needs these for the stage floor, to be able to light up the show from beneath, just as in the film. In need of more glass bricks, he kills the junk dealer and steals the bricks. In his new Tony Moreno dress Raúl is on his way to a look-alike contest in TV Chile, when the secret police enters the house to arrest Pauli and other political suspects. Raúl succeeds to sneak away over the roof, and continues to the TV studio. —Maths Jesperson {maths.jesperson1@comhem.se}"
No Country For Old Men, No Country for Old Men (2007) ,8.1,914K,"In rural Texas, welder and hunter Llewelyn Moss (Josh Brolin) discovers the remains of several drug runners who have all killed each other in an exchange gone violently wrong. Rather than report the discovery to the police, Moss decides to simply take the two million dollars present for himself. This puts the psychopathic killer, Anton Chigurh (Javier Bardem), on his trail as he dispassionately murders nearly every rival, bystander and even employer in his pursuit of his quarry and the money. As Moss desperately attempts to keep one step ahead, the blood from this hunt begins to flow behind him with relentlessly growing intensity as Chigurh closes in. Meanwhile, the laconic Sheriff Ed Tom Bell (Tommy Lee Jones) blithely oversees the investigation even as he struggles to face the sheer enormity of the crimes he is attempting to thwart. —Kenneth Chisholm (kchishol@rogers.com)"
A Separation, A Separation (2011) ,8.3,234K,"Nader (Payman Maadi) and Simin (Leila Hatami) argue about living abroad. Simin prefers to live abroad to provide better opportunities for their only daughter, Termeh. However, Nader refuses to go because he thinks he must stay in Iran and take care of his father (Ali-Asghar Shahbazi), who suffers from Alzheimers. However, Simin is determined to get a divorce and leave the country with her daughter. —Amin Davoodi"
Finding Nemo, Finding Nemo (2003) ,8.1,994K,"A clown fish named Marlin lives in the Great Barrier Reef and loses his son, Nemo, after he ventures into the open sea, despite his father's constant warnings about many of the ocean's dangers. Nemo is abducted by a boat and netted up and sent to a dentist's office in Sydney. While Marlin ventures off to try to retrieve Nemo, Marlin meets a fish named Dory, a blue tang suffering from short-term memory loss. The companions travel a great distance, encountering various dangerous sea creatures such as sharks, anglerfish and jellyfish, in order to rescue Nemo from the dentist's office, which is situated by Sydney Harbour. While the two are searching the ocean far and wide, Nemo and the other sea animals in the dentist's fish tank plot a way to return to the sea to live their lives free again. —David Morris"
Hero, Hero (2002) ,7.9,178K,"Ancient China and the Qin Empire is out to conquer the six kingdoms. This makes its king a target for assassination. However, one man has single-handedly ensured the safety of the king, by killing the three most notorious assassins in the land. Treated as a hero, he is summoned for an audience with the king. —grantss"
The Wolf of Wall Street, The Wolf of Wall Street (2013) ,8.2,1.3M,"In the early 1990s, Jordan Belfort teamed with his partner Donny Azoff and started brokerage firm Stratton Oakmont. Their company quickly grows from a staff of 20 to a staff of more than 250 and their status in the trading community and Wall Street grows exponentially. So much that companies file their initial public offerings through them. As their status grows, so do the amount of substances they abuse, and so do their lies. They draw attention like no other, throwing lavish parties for their staff when they hit the jackpot on high trades. That ultimately leads to Belfort featured on the cover of Forbes Magazine, being called ""The Wolf Of Wall St."". With the FBI onto Belfort's trading schemes, he devises new ways to cover his tracks and watch his fortune grow. Belfort ultimately comes up with a scheme to stash their cash in a European bank. But with the FBI watching him like a hawk, how long will Belfort and Azoff be able to maintain their elaborate wealth and luxurious lifestyles? —halo1k"
Mother, Mother! (2017) ,6.6,209K,"Amidst a wild flat meadow encircled by an Edenic lush forest, a couple have cocooned themselves in a secluded mansion that was not so long ago burned to the ground, devotedly restored by the supportive wife. Within this safe environment, the once famous middle-aged poet husband is desirous of creating his magnum opus; however, he seems unable to break out of the persistent creative rut that haunts him. Then, unexpectedly, a knock at the door, the sudden arrival of a cryptic late-night visitor and his intrusive wife will stimulate the writer's stagnant imagination. Little by little, much to the perplexed wife's surprise, the more chaos he lets in their haven, the better for his punctured male ego. In the end, will this incremental mess blemish, irreparably, the couple's inviolable sanctuary? —Nick Riganas"
The Bourne Ultimatum, The Bourne Ultimatum (2007) ,8.0,620K,"Bourne is once again brought out of hiding, this time inadvertently by London-based reporter Simon Ross who is trying to unveil Operation Blackbriar--an upgrade to Project Treadstone--in a series of newspaper columns. Bourne sets up a meeting with Ross and realizes instantly they're being scanned. Information from the reporter stirs a new set of memories, and Bourne must finally, ultimately, uncover his dark past whilst dodging The Company's best efforts in trying to eradicate him. —Corey Hatch"
Traffic, Traffic (2000) ,7.6,203K,"An intertwined drama about the United States' war on drugs, seen through the eyes of a once conservative judge, now newly-appointed drug czar, his heroin-addicted daughter, two DEA agents, a jailed drug kingpin's wife, and a Mexican cop who begins to question his boss's motives."
These Encounters of Theirs," Quei loro incontri (2006) aka ""These Encounters of Theirs"" ",6.7,226,This movie is the sequel of Straub and Huillet's Dalla nube alla resistenza and like its prequel is inspired by Cesare Pavese's book Dialoghi con Leucò.
Vincere, Vincere (2009) ,6.9,5.5K,"The story of Ida Dalser, who fell in love with the future Italian Fascist leader, Benito Mussolini, supported him while he was unemployed in the early 1910s, and married him, presumably around 1914. She bore Mussolini a son, Benito Albino, before the outbreak of World War I. The two lost touch during the war years and, upon discovering him again in a hospital during the war, she also discovered Rachele Guidi, who had married Mussolini in 1915, and a daughter born in 1910 when Guidi and Mussolini were living together. Historically, following his political ascendancy, Mussolini suppressed the information about his first marriage and he (through the Fascist party) persecuted both his first wife and oldest son and committed them forcibly to asylums."
Le quattro volte, Le Quattro Volte (2010) ,7.2,3.9K,"An old shepherd lives his last days in a quiet medieval village perched high on the hills of Calabria, at the southernmost tip of Italy. He herds goats under skies that most villagers have deserted long ago. He is sick, and believes to find his medicine in the dust he collects on the church floor, which he drinks in his water every day. —Anonymous"
The Profession of Arms, The Profession of Arms (2001) ,7.0,1.6K,"The history of the first victim of modern artillery and its moving agony, amidst conspiracies and betrayals of the powerful. Life and death of Giovanni De' Medici, a young brave captain in the war of Charles V against the Pope, in the first half of 1500. —Francesco Benzi <f.benzi@libero.it>"
Gostanza da Libbiano,NaN,NaN,NaN,NaN
At the First Breath of Wind," Al primo soffio di vento (2002) aka ""At the First Breath of Wind"" ",7.3,293,"Using few words and gorgeous imagery, this is a poetic painting of a family, each in their own space on an August afternoon."
Terra, Battle for Terra (2007) ,6.5,12K,"BATTLE for TERRA is a fantastic journey to worlds we have only dreamed of. It is a story of friendship, family, sacrifice and most importantly, the realization that all of our survival relies on our earth's precious natural resources. —Elissa Greer"
Oh! Man, Oh! Man (2004) ,7.2,81,"From the emblem of totalitarianism to individual physical suffering, this is a representation of man's rampaging violence to draw up an anatomical inventory of the damaged body and examine the consequences of the conflict on children."
"Synecdoche, New York"," Synecdoche, New York (2008) ",7.6,88K,"Theater director Caden Cotard is mounting a new play. Fresh off of a successful production of Death of a Salesman, he has traded in the suburban blue-hairs and regional theater of Schenectady for the cultured audiences and bright footlights of Broadway. Armed with a MacArthur grant and determined to create a piece of brutal realism and honesty, something into which he can put his whole self, he gathers an ensemble cast into a warehouse in Manhattan's theater district. He directs them in a celebration of the mundane, instructing each to live out their constructed lives in a small mock-up of the city outside. As the city inside the warehouse grows, Caden's own life veers wildly off the tracks. The shadow of his ex-wife Adele, a celebrated painter who left him years ago for Germany's art scene, sneers at him from every corner. Somewhere in Berlin, his daughter Olive is growing up under the questionable guidance of Adele's friend, Maria. He's helplessly driving his marriage to actress Claire into the ground. Sammy Barnathan, the actor Caden has hired to play himself within the play, is a bit too perfect for the part, and is making it difficult for Caden to revive his relationship with the alluringly candid Hazel. Meanwhile, his therapist, Madeline Gravis, is better at plugging her best-seller than she is at counselling him. His second daughter, Ariel, is disabled. And a mysterious condition is systematically shutting down each of his autonomic functions, one by one. As the years rapidly pass, Caden buries himself deeper into his masterpiece. Populating the cast and crew with doppelgangers, he steadily blurs the line between the world of the play and that of his own deteriorating reality. As he pushes the limits of his relationships, both personally and professionally, a change in creative direction arrives in Millicent Weems, a celebrated theater actress who may offer Caden the break he needs. —Anonymous"
Black Swan, Black Swan (2010) ,8.0,731K,"Nina (Portman) is a ballerina in a New York City ballet company whose life, like all those in her profession, is completely consumed with dance. She lives with her obsessive former ballerina mother Erica (Hershey) who exerts a suffocating control over her. When artistic director Thomas Leroy (Cassel) decides to replace prima ballerina Beth MacIntyre (Ryder) for the opening production of their new season, Swan Lake, Nina is his first choice. But Nina has competition: a new dancer, Lily (Kunis), who impresses Leroy as well. Swan Lake requires a dancer who can play both the White Swan with innocence and grace, and the Black Swan, who represents guile and sensuality. Nina fits the White Swan role perfectly but Lily is the personification of the Black Swan. As the two young dancers expand their rivalry into a twisted friendship, Nina begins to get more in touch with her dark side - a recklessness that threatens to destroy her. —Fox Searchlight Pictures"
The Comedy, The Comedy (2012) ,6.4,5K,"Indifferent to the notion of inheriting his father's estate, a restless, aging New Yorker passes time with his friends in games of mock sincerity and irreverence."
